N	3gram	Ircho_Kome_3	Dialekti
1	и т д	1	15
2	с точки зрения	3	9
3	в том что	9	9
4	по крайней мере	1	7
5	то же время	4	6
6	в то же	4	6
7	для того чтобы	6	5
8	подобно тому как	1	4
9	и тем более	1	4
10	не говоря уже	1	3
11	т е о	1	3
12	говоря уже о	1	3
13	и в этом	1	3
14	на то что	1	3
15	же что и	1	3
16	равно как и	1	2
17	имеет ничего общего	1	2
18	крайней мере с	1	2
19	о том как	3	2
20	и в то	1	2
21	с этой точки	1	2
22	т е в	2	2
23	ничего общего с	1	2
24	этой точки зрения	1	2
25	по сравнению с	2	2
26	в свою очередь	6	2
27	и в частности	1	2
28	не имеет ничего	1	2
29	тем не менее	3	2
30	я мог бы	1	1
31	в обоих случаях	1	1
32	в силу этого	1	1
33	в нем только	1	1
34	прежде всего это	1	1
35	должно было бы	1	1
36	может быть только	1	1
37	на первый план	1	1
38	не было и	1	1
39	в зависимости от	1	1
40	в ней как	1	1
41	только для того	2	1
42	в отличие от	1	1
43	можно сказать что	1	1
44	в основе своей	1	1
45	еще не знает	1	1
46	и для этого	1	1
47	т е чисто	1	1
48	и все его	1	1
49	в конце концов	2	1
50	это не так	1	1
51	в виду конечно	1	1
52	и с этой	2	1
53	так или иначе	2	1
54	в течение всей	1	1
55	в этот момент	1	1
56	в связи с	3	1
57	в виду что	1	1
58	как бы в	1	1
59	говорить о полном	1	1
60	одной из сторон	1	1
61	вместе с ним	2	1
62	то обстоятельство что	2	1
63	так что лучше	1	1
64	в этом случае	2	1
65	о том что	4	1
66	и не может	1	1
67	вопрос о том	1	1
68	из себя и	1	1
69	то ни в	1	1
70	речь идет о	3	1
71	но все же	2	1
72	и не думал	1	1
73	с другой стороны	2	1
74	друг от друга	1	1
75	гораздо ближе к	1	1
76	после того как	1	1
77	ну а что	1	1
78	в отношении к	1	1
79	но если бы	1	1
