N	2gram	Berdyaev_N_1	Problema
1	и в	16	44
2	и не	11	35
3	не есть	3	35
4	может быть	7	28
5	по себе	1	25
6	потому что	4	25
7	то что	4	23
8	в том	8	21
9	только в	1	19
10	а не	17	18
11	в этом	7	17
12	сказать что	3	16
13	когда мы	2	15
14	не только	5	14
15	и даже	2	14
16	не в	6	13
17	но в	2	12
18	том что	2	12
19	то это	1	10
20	так и	2	10
21	как и	7	10
22	не менее	4	10
23	у нас	1	10
24	в виду	1	10
25	но и	3	10
26	не имеет	4	9
27	в нем	5	9
28	и с	2	9
29	это не	4	9
30	в то	2	9
31	и это	2	9
32	в его	1	9
33	что он	1	9
34	так как	1	9
35	и от	2	9
36	во всяком	1	9
37	смысле слова	3	8
38	в себе	2	8
39	он не	8	8
40	было бы	1	8
41	ни в	6	8
42	но это	6	8
43	что мы	1	8
44	что в	9	8
45	это и	2	7
46	мы не	2	7
47	все эти	2	7
48	мы должны	1	7
49	с ним	1	7
50	и что	2	7
51	с другой	3	7
52	значит что	4	7
53	уже не	2	7
54	не может	16	7
55	и потому	4	7
56	и к	5	6
57	о том	4	6
58	но если	1	6
59	никогда не	6	6
60	для этого	2	6
61	можно сказать	1	6
62	и только	1	6
63	всяком случае	1	6
64	сами по	1	6
65	такого рода	2	6
66	нет ничего	1	6
67	жизни и	8	6
68	и есть	10	5
69	еще не	3	5
70	значение и	1	5
71	за пределы	3	5
72	в своем	1	5
73	хотя и	2	5
74	тоже не	1	5
75	с тем	3	5
76	в своей	3	5
77	и его	1	5
78	и вполне	1	5
79	в ней	5	5
80	в конце	1	5
81	не было	4	5
82	так же	2	5
83	как в	3	5
84	все это	5	5
85	а в	2	5
86	другой стороны	2	5
87	не имеют	2	4
88	мы уже	1	4
89	время как	2	4
90	в чем	1	4
91	то время	1	4
92	нет никакого	1	4
93	есть только	1	4
94	в ее	3	4
95	можно было	2	4
96	мы в	1	4
97	же и	1	4
98	тем что	1	4
99	мы говорим	2	4
100	это значит	1	4
101	а также	1	4
102	в каком	1	4
103	же как	2	3
104	говорить о	1	3
105	но не	2	3
106	в самом	1	3
107	в этой	1	3
108	но все	1	3
109	значение в	1	3
110	с другими	1	3
111	том смысле	1	3
112	не значит	3	3
113	что такое	3	3
114	бы к	1	3
115	и очень	1	3
116	та или	1	3
117	или иная	1	3
118	как будто	2	3
119	она не	3	3
120	с собой	1	3
121	может иметь	1	3
122	есть в	2	3
123	уже в	1	3
124	а это	1	3
125	отличие от	1	3
126	говорим о	1	3
127	жизни а	1	3
128	прежде всего	4	3
129	жизнь в	1	3
130	но оно	1	3
131	в той	1	3
132	это есть	7	3
133	это уже	1	3
134	формы и	2	3
135	и все	4	3
136	ни к	2	3
137	хотя бы	2	3
138	будто бы	1	3
139	есть уже	1	3
140	к тому	3	3
141	того же	1	2
142	только потому	1	2
143	и до	1	2
144	с большим	1	2
145	быть в	2	2
146	не был	1	2
147	во всех	3	2
148	совсем не	12	2
149	то он	1	2
150	в известном	1	2
151	с этим	2	2
152	и нет	1	2
153	в которой	1	2
154	он в	1	2
155	с их	2	2
156	вернуться к	2	2
157	слова а	1	2
158	что все	2	2
159	он есть	1	2
160	для них	1	2
161	он и	1	2
162	для чего	2	2
163	в этих	1	2
164	в котором	1	2
165	что вся	1	2
166	возможны только	1	2
167	не столько	1	2
168	в отличие	1	2
169	и более	1	2
170	и общества	2	2
171	если нет	2	2
172	нас к	1	2
173	есть принцип	1	2
174	в основе	3	2
175	будет уже	2	2
176	могут быть	2	2
177	всегда есть	1	2
178	но также	1	2
179	для себя	1	2
180	с ее	5	2
181	это было	3	2
182	и во	1	2
183	переходит в	1	2
184	уже во	1	2
185	но тут	1	2
186	который в	2	2
187	с одной	2	2
188	себя в	2	2
189	и у	1	2
190	нас и	1	2
191	из них	1	2
192	не будут	2	2
193	друг друга	1	2
194	от того	1	2
195	гораздо больше	1	2
196	до сих	1	2
197	на ее	1	2
198	нельзя сказать	1	2
199	в природе	2	2
200	ничем не	1	2
201	имеют никакого	1	2
202	человеческой жизни	1	2
203	когда она	1	2
204	эти слова	1	2
205	вместе с	2	2
206	и особенно	1	2
207	как это	2	2
208	по своему	4	2
209	по существу	2	2
210	сих пор	1	2
211	и для	4	2
212	а к	1	2
213	все они	2	2
214	от всякого	2	2
215	есть и	1	2
216	как на	1	2
217	и начала	2	1
218	перейти от	3	1
219	от этой	1	1
220	ночь как	1	1
221	он может	1	1
222	и всеми	1	1
223	живое и	1	1
224	должна быть	3	1
225	и этот	1	1
226	жизни для	1	1
227	из всех	1	1
228	ней нет	1	1
229	символики которая	1	1
230	вопрос о	3	1
231	оно есть	1	1
232	моря и	1	1
233	и ночи	2	1
234	нужно будет	1	1
235	историческую эпоху	1	1
236	и на	2	1
237	мысли и	2	1
238	своего рода	1	1
239	есть своя	1	1
240	есть по	1	1
241	себе и	1	1
242	красота и	1	1
243	в истории	3	1
244	получает свое	1	1
245	в каком-то	1	1
246	будет употреблять	1	1
247	от этого	1	1
248	в этот	1	1
249	о самом	1	1
250	а во-вторых	1	1
251	а возможно	1	1
252	он требует	1	1
253	из этих	1	1
254	но ведь	1	1
255	вообще не	1	1
256	дальше и	1	1
257	перестает быть	4	1
258	и когда	1	1
259	не к	2	1
260	том чтобы	2	1
261	нашего времени	2	1
262	не ставится	1	1
263	в образе	1	1
264	что она	2	1
265	и заключается	2	1
266	не должно	1	1
267	это конечно	1	1
268	от нее	1	1
269	них не	1	1
270	лишь в	6	1
271	русской революции	2	1
272	быть не	1	1
273	в жизни	5	1
274	в них	4	1
275	не всегда	1	1
276	нельзя будет	1	1
277	имеет никакой	1	1
278	духовной жизни	2	1
279	и того	1	1
280	перед собой	1	1
281	пустоте и	1	1
282	во время	1	1
283	к тем	1	1
284	она сама	1	1
285	в такой	1	1
286	мы конечно	1	1
287	слова в	1	1
288	как другие	1	1
289	войне и	1	1
290	но он	1	1
291	и совсем	1	1
292	том и	2	1
293	сам этот	1	1
294	и вся	1	1
295	дня и	3	1
296	есть прежде	1	1
297	мысли в	2	1
298	революции и	3	1
299	нам суждено	1	1
300	и имеет	1	1
301	того чтобы	2	1
302	того и	1	1
303	подобно тому	3	1
304	к вопросу	1	1
305	они являются	1	1
306	к ней	1	1
307	возможно было	1	1
308	не ставит	2	1
309	во всем	1	1
310	в нее	1	1
311	бог и	1	1
312	заключается что	2	1
313	не могут	1	1
314	всего что	1	1
315	бы он	1	1
316	в одну	2	1
317	оно не	1	1
318	более не	2	1
319	быть может	4	1
320	сторона есть	1	1
321	на нем	1	1
322	будет сказать	1	1
323	на нее	1	1
324	получает все	1	1
325	эта символическая	1	1
326	к самой	2	1
327	в эпоху	9	1
328	только так	1	1
329	еще при	1	1
330	к одному	1	1
331	особого рода	1	1
332	вопросу о	1	1
333	сторон жизни	1	1
334	все в	1	1
335	истории в	5	1
336	нем не	1	1
337	также еще	1	1
338	и противопоставлять	1	1
339	нуждается в	1	1
340	который и	1	1
341	все время	2	1
342	и она	1	1
343	символична в	1	1
344	вступление в	1	1
345	xix и	4	1
346	своей основе	1	1
347	для всех	1	1
348	к идее	1	1
349	или не	1	1
350	в ночи	3	1
351	существу своему	1	1
352	человеческого духа	1	1
353	свидетельствует о	1	1
354	к своим	1	1
355	сказать мы	1	1
356	земли и	1	1
357	они сами	1	1
358	у него	2	1
359	которые могут	1	1
360	они будут	1	1
361	не хотел	1	1
362	к той	1	1
363	ее на	1	1
364	для того	1	1
365	не хочет	1	1
366	в какие	1	1
367	к ее	3	1
368	себя и	1	1
369	что не	1	1
370	что будет	1	1
371	внутри которого	1	1
372	стремится к	3	1
373	не на	1	1
374	не означает	3	1
375	зависит от	2	1
376	к таким	1	1
377	средневекового типа	1	1
378	нужно считать	1	1
379	далеко еще	1	1
380	идеями и	1	1
381	уже давно	1	1
382	нет в	1	1
383	себе если	1	1
384	одной стороны	2	1
385	другой же	1	1
386	но сам	1	1
387	и нами	1	1
388	во все	1	1
389	ночи у	1	1
390	быть только	1	1
391	к ночи	1	1
392	только для	1	1
393	ведь и	2	1
394	но для	2	1
395	и общественной	5	1
396	в более	1	1
397	одного и	1	1
398	говорим что	1	1
399	не существует	3	1
400	не с	1	1
401	человеческого общества	1	1
402	а во	1	1
403	равно как	2	1
404	огромного напряжения	1	1
405	особого типа	1	1
406	когда само	1	1
407	мысли но	1	1
408	к этой	1	1
409	можно назвать	2	1
410	они не	1	1
