N	3gram	Potebnia_M_1	Problema
1	и т д	4	13
2	тем не менее	6	10
3	в том что	13	9
4	сама по себе	3	8
5	в связи с	1	7
6	и в этом	6	6
7	сам по себе	1	6
8	сами по себе	1	6
9	во всяком случае	1	6
10	с другой стороны	5	5
11	по крайней мере	2	5
12	не может быть	9	5
13	д и т	1	4
14	в таком случае	2	4
15	в то же	3	4
16	или по крайней	1	4
17	бы то ни	2	4
18	что иное как	2	4
19	в то время	1	4
20	не что иное	2	4
21	он не есть	1	4
22	заключается в том	1	3
23	том смысле что	1	3
24	по себе а	1	3
25	то ни было	1	3
26	что и в	3	3
27	о том что	1	3
28	можно было бы	1	3
29	не было бы	1	3
30	точно так же	1	3
31	для нас не	1	3
32	дело в том	2	3
33	должны сказать что	1	3
34	само по себе	4	3
35	того или другого	1	3
36	в том смысле	4	3
37	в том виде	1	2
38	это значит что	1	2
39	до сих пор	1	2
40	и тем самым	1	2
41	но с другой	2	2
42	еще не есть	1	2
43	и как бы	3	2
44	только при помощи	1	2
45	могло бы быть	1	2
46	на самом деле	1	2
47	и тем более	1	2
48	в сравнении с	2	2
49	только потому что	2	2
50	не только в	3	2
51	только то что	1	2
52	на которую указывает	1	2
53	но и в	4	2
54	с точки зрения	3	2
55	то это не	2	2
56	друг от друга	2	2
57	как мы видели	1	2
58	а не есть	2	2
59	этой точки зрения	1	2
60	это могло бы	1	1
61	мы не можем	1	1
62	она каждый раз	1	1
63	а потому что	2	1
64	таким образом что	2	1
65	так же как	1	1
66	так и в	3	1
67	потому что оно	1	1
68	не видно что	1	1
69	что мы действительно	1	1
70	и потому что	2	1
71	только тогда когда	4	1
72	и вопрос о	1	1
73	с одной стороны	3	1
74	до того что	1	1
75	всяком случае не	1	1
76	но все они	1	1
77	т д в	1	1
78	тогда когда мы	1	1
79	сказать что и	1	1
80	мы в то	1	1
81	из того что	1	1
82	как и в	2	1
83	не только не	2	1
84	именно так как	1	1
85	то это будет	1	1
86	во что бы	1	1
87	что бы то	1	1
88	от того что	1	1
89	еще и потому	1	1
90	в собственном смысле	1	1
91	но это не	1	1
92	во всех языках	1	1
93	для того чтобы	2	1
94	и в таком	1	1
95	из всего этого	1	1
96	того что не	1	1
97	перед нами еще	1	1
98	смысле этого слова	1	1
99	к тому что	2	1
100	к одной и	1	1
101	то есть по	1	1
102	то ни стало	1	1
103	и того же	2	1
104	потому что дело	1	1
105	с тем что	3	1
106	и не только	1	1
107	в первом случае	1	1
108	слова мы должны	1	1
109	и то и	1	1
110	и в этой	1	1
111	то и в	2	1
112	на то что	1	1
113	таким образом в	1	1
114	и может быть	2	1
115	более или менее	1	1
116	остается только сказать	1	1
117	не нуждается в	2	1
118	не менее в	1	1
119	может быть не	1	1
120	как и во	1	1
121	которые могут быть	1	1
122	с указания на	1	1
123	что в нем	1	1
124	одного и того	2	1
125	потому что мы	2	1
126	бы даже и	1	1
127	но при этом	1	1
128	только тем что	1	1
129	только в том	6	1
130	тем что мы	1	1
131	до такой степени	1	1
132	то что мы	1	1
133	как бы ни	2	1
134	в том и	2	1
135	указывает на то	1	1
136	было бы только	1	1
137	и все же	1	1
138	мы можем даже	1	1
139	не так как	1	1
140	на этот вопрос	2	1
141	потому что для	1	1
142	а не в	1	1
143	друг друга и	1	1
144	нет ничего общего	1	1
145	что не только	2	1
146	мы видели выше	1	1
147	если бы мы	1	1
148	это было бы	1	1
149	по себе и	1	1
150	в целом а	1	1
151	и в тех	1	1
152	то тем самым	1	1
153	обратить внимание на	1	1
154	по себе не	1	1
155	с этой точки	1	1
156	то и другое	2	1
