N	3gram	Nazirov_Tv_2	Analitik
1	в том что	2	7
2	по отношению к	3	7
3	так и не	1	5
4	с другой стороны	2	5
5	о том что	2	5
6	по крайней мере	2	4
7	в свою очередь	1	4
8	как и в	1	4
9	в русской литературе	1	3
10	то же время	7	3
11	той или иной	1	3
12	в то же	7	3
13	к тому же	1	3
14	дело в том	1	2
15	в отличие от	2	2
16	едва ли не	2	2
17	во всяком случае	2	2
18	в конечном счете	1	2
19	и прежде всего	1	2
20	на наш взгляд	2	2
21	хотя и не	1	1
22	никогда не является	1	1
23	в первой части	2	1
24	в частности с	1	1
25	в самом деле	2	1
26	в дальнейшем мы	1	1
27	до сих пор	3	1
28	в романе достоевского	5	1
29	в таком случае	2	1
30	при этом что	1	1
31	может и не	1	1
32	молодого человека в	1	1
33	на этот вопрос	2	1
34	со всех сторон	1	1
35	именно в этом	2	1
36	но в таком	1	1
37	как уже говорилось	1	1
38	оно никогда не	1	1
39	так и в	2	1
40	в применении к	1	1
41	в известном смысле	1	1
42	не могут быть	1	1
43	а с другой	1	1
44	он не выдерживает	1	1
45	это все же	1	1
46	в связи с	1	1
47	но как бы	1	1
48	в глубине души	1	1
49	того или иного	1	1
50	не может быть	3	1
51	то что не	1	1
52	в одном из	2	1
53	именно потому что	1	1
54	по сути дела	3	1
55	ничего не говорит	1	1
56	не сводится к	1	1
57	в каждом из	1	1
