N	2gram	Kanaev_Sov_1	Problemy
1	и не	6	31
2	и в	7	29
3	в его	2	24
4	может быть	12	24
5	в этом	7	22
6	а не	3	22
7	в нем	3	19
8	точки зрения	12	19
9	как бы	4	19
10	не только	4	15
11	то же	3	14
12	и его	1	14
13	рядом с	1	14
14	с точки	5	13
15	уже не	2	13
16	точка зрения	1	12
17	таким образом	11	12
18	как и	6	12
19	не может	17	12
20	в самом	2	10
21	этом смысле	1	10
22	в то	1	10
23	только в	1	10
24	в одном	3	10
25	там где	1	10
26	все эти	5	9
27	с его	1	9
28	все же	3	9
29	это не	4	9
30	если бы	1	9
31	же время	1	9
32	но не	1	9
33	по отношению	1	8
34	что в	2	8
35	по себе	1	8
36	в каждом	8	8
37	в том	4	8
38	в своем	1	8
39	отношению к	1	8
40	но в	3	7
41	в себе	3	7
42	том что	1	7
43	не в	3	7
44	вовсе не	1	7
45	она не	1	7
46	прежде всего	5	7
47	а в	4	7
48	самом деле	2	6
49	так же	1	6
50	в целом	4	6
51	что она	3	6
52	в мире	1	6
53	его в	1	6
54	несмотря на	1	6
55	точку зрения	4	6
56	могут быть	2	6
57	к нему	1	6
58	в конце	3	6
59	так как	4	6
60	и потому	3	6
61	не могут	2	6
62	все это	3	6
63	на самом	1	5
64	это и	1	5
65	в зависимости	4	5
66	той же	2	5
67	зависимости от	4	5
68	у него	2	5
69	он не	1	5
70	но все	2	5
71	было бы	3	5
72	или как	1	5
73	и это	1	5
74	еще не	3	5
75	с ним	1	5
76	ничего не	6	5
77	именно в	1	5
78	дело идет	1	5
79	во всяком	2	5
80	идет о	1	4
81	и наконец	5	4
82	в этой	3	4
83	так сказать	2	4
84	человека в	1	4
85	должно быть	1	4
86	но эта	1	4
87	их в	4	4
88	раз и	1	4
89	как мы	2	4
90	в процессе	1	4
91	из одного	2	4
92	и следовательно	1	4
93	не было	1	4
94	что же	5	4
95	но это	1	4
96	и для	1	4
97	в результате	6	4
98	они не	1	4
99	он может	3	3
100	он сам	1	3
101	он в	3	3
102	то чем	1	3
103	и пр	2	3
104	кроме того	1	3
105	уже в	3	3
106	и до	1	3
107	на котором	2	3
108	одна из	3	3
109	никогда не	1	3
110	в духе	1	3
111	отличается от	3	3
112	для его	2	3
113	если же	2	3
114	приводит к	2	3
115	все его	1	3
116	с другой	1	3
117	ним и	1	3
118	каждый элемент	1	3
119	мы должны	4	3
120	но как	1	3
121	волевого акта	1	3
122	и у	1	3
123	не из	1	3
124	всяком случае	2	3
125	ни в	1	3
126	как их	1	3
127	сами по	1	3
128	по существу	1	3
129	есть то	1	3
130	не дает	2	3
131	не знает	1	3
132	сказать что	1	3
133	таким же	1	3
134	в своих	1	3
135	все что	1	3
136	лишь там	1	2
137	и есть	2	2
138	к другому	1	2
139	по преимуществу	1	2
140	оно может	1	2
141	все те	2	2
142	и могут	1	2
143	мы уже	1	2
144	для своего	1	2
