N	3gram	Nazirov_Tv_1	Psycholo
1	в том что	6	11
2	и в самом	1	10
3	то же самое	1	8
4	заключается в том	1	6
5	с самого начала	3	6
6	до сих пор	1	5
7	и т п	2	5
8	с одной стороны	1	5
9	с другой стороны	1	5
10	и т д	1	4
11	мы уже говорили	1	3
12	о том что	5	3
13	то и другое	1	3
14	в прямом смысле	1	2
15	имеет место в	1	2
16	на самом деле	2	2
17	и та же	2	2
18	только то что	1	2
19	то что в	1	2
20	в наше время	2	2
21	это имеет место	1	2
22	вместе с тем	1	2
23	не то что	1	2
24	в данном случае	2	2
25	одного из них	1	2
26	и как бы	1	2
27	все более и	1	2
28	что у него	1	2
29	я не могу	1	2
30	мы все время	1	2
31	в свою очередь	1	2
32	более и более	1	2
33	к тому что	1	2
34	не так как	1	1
35	так ли это?	1	1
36	та же самая	2	1
37	в первой части	1	1
38	и как раз	1	1
39	имеем в виду	1	1
40	трагедии в трагедии	1	1
41	где он говорит	1	1
42	как это имеет	1	1
43	нам кажется что	1	1
44	все та же	1	1
45	он не может	1	1
46	все же именно	1	1
47	в мировой литературе	1	1
48	что он не	1	1
49	он говорит о	1	1
50	в отличие от	1	1
51	он пришел к	1	1
52	все время видим	1	1
53	к своим героям	1	1
54	они представляют собой	1	1
55	заключает в себе	1	1
56	это вовсе не	1	1
57	полном согласии с	1	1
58	уже говорили что	1	1
59	все это является	1	1
60	и что в	1	1
61	в мысли и	1	1
62	в стихах и	1	1
63	как один из	1	1
64	может быть к	1	1
65	вполне может быть	1	1
66	как и на	1	1
67	дело не в	1	1
68	мы никогда не	1	1
69	время видим что	1	1
70	одна и та	1	1
71	не заметить что	1	1
72	не странно ли	1	1
73	бросается в глаза	1	1
74	в этом плане	1	1
75	и все же	3	1
76	имел в виду	1	1
77	и если так	1	1
78	странно ли что	1	1
79	можно сказать что	2	1
80	сплошь и рядом	1	1
81	по преимуществу в	1	1
82	напрашивается вывод что	1	1
83	таким образом и	1	1
84	в полном согласии	1	1
85	если мы перейдем	1	1
86	для него было	1	1
87	к тому же	1	1
88	при этом она	1	1
