N	2gram	Vinokur_St_3	Dialekti
1	т е	8	46
2	и не	10	30
3	а не	5	18
4	может быть	19	17
5	и т	8	17
6	ничего не	4	17
7	то что	12	16
8	т д	2	15
9	и в	25	15
10	точки зрения	7	14
11	не имеет	2	14
12	так как	3	14
13	как бы	6	14
14	это есть	4	13
15	что это	16	13
16	по себе	1	13
17	того что	5	13
18	это не	7	12
19	говорить о	3	11
20	не может	7	11
21	и все	1	11
22	в том	20	11
23	в этом	24	11
24	ясно что	1	11
25	прежде всего	10	11
26	потому что	5	10
27	с ее	2	10
28	том что	15	10
29	мы не	2	9
30	то же	5	9
31	было бы	7	9
32	и что	3	9
33	уже не	3	9
34	с точки	4	9
35	все это	8	9
36	и пр	13	9
37	в виду	2	9
38	и ее	2	8
39	не в	6	8
40	и это	5	8
41	в чем	4	8
42	и о	1	8
43	ни в	5	8
44	это значит	1	8
45	не только	12	8
46	как и	4	7
47	или в	2	7
48	крайней мере	4	7
49	должна быть	1	7
50	и вообще	1	7
51	что в	19	7
52	и его	3	7
53	только в	6	7
54	по крайней	4	7
55	что именно	2	7
56	не просто	2	7
57	что он	19	7
58	что мы	3	7
59	же время	3	6
60	вовсе не	2	6
61	так что	11	6
62	а именно	1	6
63	в то	7	6
64	сказать что	4	6
65	если бы	4	6
66	и тем	4	6
67	что и	1	6
68	в результате	2	6
69	нет ничего	1	6
70	тем более	3	6
71	ни на	2	6
72	на себе	2	5
73	же это	1	5
74	можно сказать	4	5
75	и для	4	5
76	только тогда	2	5
77	так и	5	5
78	есть не	1	5
79	таким образом	10	5
80	на то	5	5
81	в жизни	4	5
82	в нем	1	5
83	того чтобы	1	5
84	что я	3	5
85	то в	4	5
86	в свете	1	5
87	и на	6	5
88	в смысле	4	5
89	тогда когда	2	5
90	что такое	7	5
91	в сущности	2	5
92	для того	2	5
93	той же	2	5
94	знаете что	2	5
95	мы имеем	5	5
96	именно в	1	5
97	с его	3	5
98	о том	8	5
99	но что	1	5
100	в каком	4	5
101	в ней	4	5
102	что она	1	5
103	быть в	1	5
104	в своем	1	5
105	личность как	1	4
106	и с	4	4
107	бы в	1	4
108	жизни и	1	4
109	что они	2	4
110	так же	1	4
111	есть в	2	4
112	как раз	3	4
113	хотя бы	1	4
114	с тем	4	4
115	в одном	1	4
116	еще не	2	4
117	этом смысле	4	4
118	но и	9	4
119	именно о	1	4
120	в течение	4	4
121	один из	2	4
122	не о	1	4
123	что все	3	4
124	тому как	1	4
125	в особенности	4	4
126	в этой	14	4
127	в его	12	4
128	мы видим	4	4
129	также и	1	4
130	не как	2	4
131	уже о	1	4
132	ни без	1	4
133	и как	1	4
134	той или	1	4
135	но это	4	4
136	все эти	3	3
137	то мы	1	3
138	для всех	1	3
139	в словах	3	3
140	и нет	1	3
141	и наконец	3	3
142	в собственном	1	3
143	говорит о	1	3
144	от этого	1	3
145	так чтобы	2	3
146	иной раз	1	3
147	в виде	3	3
148	говоря уже	1	3
149	с ним	1	3
150	в своей	4	3
151	в их	3	3
152	вот почему	1	3
153	нет никакого	3	3
154	в области	6	3
155	к жизни	1	3
156	мы имели	2	3
157	отношения к	1	3
158	можно назвать	4	3
159	с этим	7	3
160	из которых	4	3
161	и той	1	3
162	как в	6	3
163	что если	2	3
164	у нас	4	3
165	не говоря	1	3
166	что не	2	3
167	себя и	2	3
168	когда она	1	3
169	найти в	2	3
170	на другое	2	3
171	в истории	1	3
172	даже и	1	3
173	об этом	5	3
174	и события	1	3
175	со стороны	3	3
176	только не	1	3
177	нет ни	1	3
178	на этом	3	3
179	могут быть	2	3
180	или нет	1	3
181	когда он	1	3
182	за пределы	1	3
183	и если	3	3
184	но в	5	3
185	при помощи	2	3
186	есть и	1	3
187	от нее	3	3
188	к этому	3	3
189	и то	1	3
190	известно что	2	3
191	что здесь	4	3
192	одной и	1	3
193	я уже	1	3
194	в данном	1	3
195	и необходимости	1	3
196	в свою	2	3
197	что по	3	2
198	или сам	1	2
199	все же	4	2
200	можно и	1	2
201	и только	2	2
202	в свое	1	2
203	я говорю	1	2
204	из них	1	2
205	вопрос о	1	2
206	вещи мы	1	2
207	тех же	1	2
208	в которой	4	2
209	да еще	1	2
