N	3gram	Kanaev_Sov_1	Vvedenie
1	в том что	1	12
2	в этом смысле	1	8
3	тем не менее	2	8
4	не может быть	4	8
5	в то же	1	6
6	в самом деле	1	6
7	то же время	1	6
8	до сих пор	1	6
9	с одной стороны	1	4
10	и в этом	1	4
11	во всяком случае	2	4
12	в этом случае	1	4
13	по отношению к	1	4
14	не что иное	1	4
15	что иное как	1	4
16	на этот вопрос	1	4
17	в данном случае	1	4
18	по крайней мере	1	4
19	можно было бы	1	4
20	и именно в	1	3
21	в известном смысле	1	3
22	одной стороны и	1	3
23	но все же	1	3
24	в свое время	1	3
25	может быть в	1	2
26	до наших дней	1	2
27	одной и той	1	2
28	мы уже знаем	1	2
29	как он выражается	1	2
30	может быть и	2	2
31	и что следовательно	1	2
32	и той же	1	2
33	той или иной	1	2
34	не могут быть	1	2
35	в связи с	1	2
36	есть не что	1	2
37	дело в том	1	2
38	не в том	1	2
39	с точки зрения	5	2
40	то же самое	2	2
41	влечет за собой	1	2
42	с самого начала	3	1
43	так же как	1	1
44	не вытекает из	1	1
45	данном случае и	1	1
46	быть и речи	1	1
47	какой бы то	1	1
48	цель и в	1	1
49	бы то ни	1	1
50	тот факт что	1	1
51	всяком случае не	1	1
52	но ведь это	1	1
53	только так как	1	1
54	но уже в	1	1
55	когда мы говорим	1	1
56	из которых в	1	1
57	но это уже	1	1
58	заключает в себе	1	1
59	что в ней	1	1
60	мы говорим о	1	1
61	представление о том	1	1
62	все же это	1	1
63	и прежде всего	1	1
64	из этих двух	1	1
65	таким образом вся	1	1
66	на самом деле	1	1
67	в и в	1	1
68	все же в	1	1
69	в настоящее время	2	1
70	в свою очередь	2	1
71	может быть только	1	1
72	не было бы	1	1
73	в зависимости от	4	1
74	и есть то	1	1
75	же это не	1	1
76	же самое что	1	1
77	в том как	1	1
78	xix в и	1	1
79	не может не	3	1
80	это то же	1	1
81	все это делает	1	1
82	в отличие от	2	1
83	а не только	1	1
84	как мы видим	1	1
85	и могут быть	1	1
86	то ни было	1	1
87	и его представители	1	1
