N	3gram	Bakhtin_sl_1	Marksizm
1	с точки зрения	8	20
2	не может быть	1	13
3	и не может	2	9
4	до сих пор	2	8
5	бы то ни	1	8
6	то ни было	1	8
7	в отличие от	1	5
8	в направлении к	1	5
9	одни и те	1	5
10	с другой стороны	4	5
11	и те же	1	5
12	с самого начала	1	4
13	в отношении к	6	4
14	в этом случае	2	3
15	в этом отношении	1	3
16	может быть и	1	3
17	науки о языке	1	3
18	то же время	12	3
19	в первом случае	2	3
20	можно сказать что	1	3
21	в большинстве случаев	6	3
22	в то же	12	3
23	для того чтобы	1	3
24	в том что	1	3
25	и той же	1	2
26	с установкой на	1	2
27	в неразрывной связи	1	2
28	на самом же	1	2
29	можно было бы	2	2
30	точки зрения не	1	2
31	со всех сторон	1	2
32	во всех областях	1	2
33	в узком смысле	10	2
34	но в то	4	2
35	во всяком случае	5	2
36	не могут быть	2	2
37	в какой степени	1	2
38	система языка в	1	2
39	одной и той	1	2
40	оно ни было	1	2
41	в свою очередь	2	2
42	и прежде всего	1	2
43	самом же деле	1	2
44	слово как мы	1	2
45	языка в смысле	3	2
46	тем не менее	1	2
47	свое выражение в	2	2
48	в пределах одного	1	2
49	может войти в	1	1
50	и в сущности	2	1
51	а следовательно и	1	1
52	точка зрения на	2	1
53	не могла быть	1	1
54	прежде всего как	1	1
55	единство языка в	1	1
56	не значит конечно	1	1
57	какой степени не	1	1
58	значит конечно что	1	1
59	прежде всего в	1	1
60	укладываются в рамки	1	1
61	равно как и	1	1
62	там где они	1	1
63	большей или меньшей	4	1
64	необходимые условия для	1	1
65	и так сказать	1	1
66	но именно эти	1	1
67	громадное значение в	1	1
68	в тесной связи	1	1
69	а между тем	2	1
70	как бы ни	2	1
71	пор совершенно не	1	1
72	и во всяком	1	1
73	совершенно не изученных	1	1
74	как мы сказали	4	1
75	хотя бы и	3	1
76	до известной степени	2	1
77	синтаксиса и стилистики	1	1
78	но и в	1	1
79	в плане общего	2	1
80	оно ничего не	1	1
81	по аналогии с	1	1
82	находит свое выражение	1	1
83	к системе языка	1	1
84	рано или поздно	1	1
85	элементов языка и	1	1
86	нет ничего что	1	1
87	на данном языке	1	1
88	может быть только	2	1
89	с этой точки	1	1
90	в меру своей	1	1
91	исторического становления и	1	1
92	ни в какой	1	1
93	в процессе своего	1	1
94	так или иначе	1	1
95	принципиальных вопросов философии	1	1
96	в значительной степени	1	1
97	неразрывной связи с	1	1
98	все же и	1	1
99	и потому как	1	1
100	колебания социальной атмосферы	1	1
101	лежит в основе	1	1
102	и с точки	1	1
103	с одной стороны	4	1
104	отношение к языку	1	1
105	в смысле системы	3	1
106	среда в которой	1	1
107	система языковых норм	1	1
108	имеют громадное значение	1	1
109	исходить из языка	1	1
110	и не было	1	1
111	и вне его	1	1
112	для индивидуального сознания	1	1
113	в большей или	3	1
114	это не значит	1	1
115	сих пор совершенно	1	1
116	все эти формы	1	1
117	слово в то	1	1
118	до наших дней	1	1
119	в этом как	1	1
120	в широком смысле	2	1
121	нет подхода к	1	1
122	более или менее	3	1
123	каждое слово как	1	1
124	таким образом в	3	1
125	так и в	3	1
126	его жизни и	1	1
127	тесной связи с	1	1
128	в точном смысле	1	1
129	очень далек от	1	1
130	этой точки зрения	1	1
131	точки зрения самого	2	1
132	обстоит дело и	1	1
133	не только не	1	1
134	и стилистики в	1	1
135	не только в	2	1
136	выходит за пределы	3	1
137	не выходит за	3	1
138	и от него	1	1
139	или во всяком	2	1
140	как мы видим	1	1
141	в другом случае	2	1
142	по преимуществу в	1	1
143	так оно может	1	1
144	как мы уже	2	1
145	лишь там где	1	1
146	к тому что	2	1
147	между словом и	1	1
148	о языке и	1	1
149	язык с этой	1	1
150	друг с другом	2	1
151	узком смысле и	1	1
152	при этом из	1	1
153	языка и может	1	1
154	из языка как	1	1
155	в последнем счете	1	1
156	к языку как	1	1
157	таким образом с	1	1
158	как мы видели	1	1
159	той или иной	9	1
160	и в другом	2	1
