N	3gram	Vygotskiy__2	EvropaiC
1	в том что	21	16
2	до сих пор	1	12
3	по отношению к	5	10
4	друг с другом	2	9
5	с точки зрения	18	8
6	на самом деле	2	7
7	более или менее	2	7
8	на то что	6	7
9	друг от друга	2	6
10	мы говорили выше	1	6
11	для того чтобы	10	6
12	в самом деле	4	5
13	по сравнению с	5	5
14	в своем развитии	2	4
15	том случае если	1	4
16	совершенно так же	1	4
17	в том случае	1	4
18	к тому же	1	4
19	с другой стороны	1	4
20	не может быть	6	4
21	о том что	4	4
22	тот факт что	1	4
23	не может не	1	3
24	в том же	2	3
25	и то что	1	3
26	так же как	1	3
27	в данном случае	3	3
28	в связи с	6	3
29	заключается в том	7	3
30	заметим кстати что	1	2
31	но так как	1	2
32	в том и	1	2
33	том что он	1	2
34	о которой мы	1	2
35	как и все	1	2
36	только то что	1	2
37	бы то ни	1	2
38	он не может	1	2
39	рано или поздно	1	2
40	несмотря на то	1	2
41	именно потому что	1	2
42	то ни было	1	2
43	с одной стороны	7	2
44	в такой форме	1	2
45	а с другой	4	2
46	друг к другу	1	2
47	во всяком случае	6	2
48	указывают на то	1	2
49	которой мы говорили	1	2
50	как и в	1	2
51	ничего общего с	1	2
52	случае если бы	1	2
53	потому что как	1	1
54	должны быть поставлены	1	1
55	мы уже говорили	3	1
56	и более или	1	1
57	в данный момент	1	1
58	по этому вопросу	1	1
59	того что в	2	1
60	иметь в виду	1	1
61	дело в том	1	1
62	это было бы	1	1
63	в этом последнем	1	1
64	в этом пункте	2	1
65	то же самое	2	1
66	все та же	1	1
67	только в том	1	1
68	между тем мы	1	1
69	не отличается от	1	1
70	в зависимости от	6	1
71	представление о том	1	1
72	друг на друга	1	1
73	у него в	1	1
74	мы находим в	1	1
75	но для этого	1	1
76	из того что	4	1
77	том числе и	3	1
78	а для этого	1	1
79	за то что	1	1
80	на каждом шагу	1	1
81	точно так же	1	1
82	элементы из которых	1	1
83	о возможности для	1	1
84	в самой природе	1	1
85	которые необходимы для	1	1
86	данном случае не	1	1
87	в истинном смысле	2	1
88	что представление об	1	1
89	то обстоятельство что	1	1
90	своем развитии и	1	1
91	то что для	1	1
92	и с точки	1	1
93	мы не знаем	1	1
94	таким образом и	1	1
95	вместе с ней	1	1
96	в высшей степени	7	1
97	не свидетельствует о	1	1
98	состоит в том	3	1
99	мы видели выше	1	1
100	до некоторой степени	1	1
101	благодаря тому что	1	1
102	как и вообще	1	1
103	приводит к тому	1	1
104	не в том	1	1
105	все что мы	4	1
106	но вместе с	1	1
107	вместо того чтобы	1	1
108	даже в этом	1	1
109	шаг за шагом	1	1
110	остается в силе	1	1
111	и все же	1	1
112	совершенно отличных от	1	1
113	может рассматриваться как	3	1
114	же самое что	2	1
115	ко всем вообще	1	1
116	на точку зрения	1	1
117	от того же	1	1
118	как бы ни	1	1
119	смысле этого слова	3	1
120	с самого начала	1	1
121	не только не	1	1
122	что это есть	1	1
123	по его мнению	1	1
124	несмотря на все	1	1
125	мы видели что	3	1
126	не в пользу	1	1
127	это действительно так	1	1
128	сказать что при	1	1
129	в том числе	3	1
130	истинном смысле этого	3	1
131	самом деле если	1	1
132	но на деле	2	1
133	как мы видели	1	1
134	говорит за то	1	1
135	что это действительно	1	1
136	те же самые	1	1
137	только тогда когда	2	1
138	и ко всем	1	1
139	тот или иной	1	1
