N	3gram	Propp_Russ_2	DiskursI
1	в отличие от	3	12
2	в том что	18	6
3	в данном случае	6	6
4	как и в	1	5
5	с одной стороны	2	4
6	в этом отношении	1	4
7	о том что	4	3
8	не может быть	3	3
9	подобно тому как	3	2
10	в исторической перспективе	1	2
11	это еще не	1	2
12	в первую очередь	1	2
13	в этом случае	6	2
14	но в данном	1	2
15	на первый взгляд	1	2
16	состоит в том	13	2
17	дело в том	1	2
18	том что в	1	1
19	одна из них	1	1
20	в это время	1	1
21	представление будто именно	1	1
22	на некоторое время	1	1
23	можно сказать что	1	1
24	в другом месте	1	1
25	с другой стороны	1	1
26	тому как в	2	1
27	в предыдущей главе	1	1
28	между тем как	1	1
29	с ней и	1	1
30	в одних случаях	1	1
31	в такой же	1	1
32	то что в	1	1
33	в применении к	1	1
34	данном случае мы	1	1
35	все то что	1	1
36	по аналогии с	1	1
37	но это не	1	1
38	потому что в	1	1
39	тем не менее	2	1
40	во всяком случае	1	1
