N	3gram	Bakhtin_fo_1	Istorich
1	с одной стороны	2	7
2	в этом случае	1	6
3	в том что	2	5
4	до сих пор	3	4
5	не только в	2	4
6	о том что	1	4
7	мы имеем в	1	4
8	вместе с тем	2	3
9	в данном случае	1	3
10	то время как	2	3
11	мы уже видели	1	3
12	в тех случаях	1	3
13	в то время	3	3
14	тех случаях когда	1	3
15	не может быть	3	3
16	том что в	1	2
17	на первый план	1	2
18	но и в	2	2
19	что в нем	1	2
20	здесь же мы	1	2
21	так как он	1	2
22	не могло быть	3	2
23	таким образом и	1	2
24	с этим в	1	2
25	во всяком случае	1	2
26	по отношению к	3	2
27	но все же	2	2
28	мы уже знаем	1	2
29	как и в	2	2
30	и в религиозных	1	1
31	в другом месте	1	1
32	на том что	1	1
33	в этом мире	2	1
34	мы видим в	1	1
35	все наше внимание	1	1
36	по существу и	1	1
37	и в особенности	2	1
38	он вступает в	1	1
39	в том числе	4	1
40	в египте или	1	1
41	одной стороны и	2	1
42	же как и	2	1
43	природы и от	1	1
44	мы находим в	1	1
45	сих пор не	1	1
46	они их не	1	1
47	в зависимости от	1	1
48	друг на друга	2	1
49	когда они уже	1	1
50	на третий день	1	1
51	наряду с этим	2	1
52	с тем что	1	1
53	амуре и психее	3	1
54	совершенно ясно что	1	1
55	том числе и	2	1
56	и др в	2	1
57	со всех сторон	1	1
58	вместе с ними	1	1
59	одно и то	3	1
60	здесь нет в	1	1
61	так же как	2	1
62	но и на	1	1
63	и то же	3	1
64	на то место	1	1
65	а также и	2	1
66	борьбе с природой	1	1
67	но вместе с	1	1
68	на следующий день	1	1
69	мы уже говорили	3	1
70	если они не	1	1
71	между этими двумя	3	1
72	и в том	1	1
73	соответствии с этим	2	1
74	поэтому и не	1	1
75	надо сказать что	1	1
76	которые связаны с	1	1
77	так и в	1	1
78	у нас и	1	1
79	то что не	1	1
80	уже видели как	1	1
81	к выводу что	1	1
82	как мы видим	2	1
83	в какой-то степени	2	1
84	и поэтому их	1	1
85	так как по	1	1
86	друг с другом	1	1
87	их в ряд	1	1
88	для того чтобы	5	1
89	в них не	1	1
90	здесь как и	1	1
91	в себе не	1	1
92	смысле этого слова	1	1
93	и не могло	1	1
