N	3gram	Propp_Russ_1	formyVre
1	и т п	1	11
2	с точки зрения	3	8
3	в связи с	4	7
4	не только в	1	5
5	как мы уже	1	4
6	друг с другом	1	4
7	и в этом	1	3
8	во всех этих	1	3
9	в большинстве случаев	2	3
10	в том что	15	3
11	и т д	9	3
12	а следовательно и	1	2
13	что в этом	2	2
14	в этом случае	5	2
15	и та же	1	2
16	может быть и	2	2
17	одна и та	1	2
18	потому что они	1	2
19	в этом отношении	1	2
20	в этом ряду	1	2
21	с этим в	1	1
22	и того же	1	1
23	и пр и	1	1
24	и связанные с	2	1
25	праздники и обряды	1	1
26	в виду что	1	1
27	и наконец в	1	1
28	на самом деле	1	1
29	к еде и	1	1
30	и не только	1	1
31	и его жизнь	1	1
32	в отличие от	1	1
33	наряду с этим	1	1
34	как мы увидим	5	1
35	значит что все	1	1
36	значении этого слова	1	1
37	но и как	1	1
38	как можно больше	1	1
39	вместе с тем	6	1
40	и у других	1	1
41	точки зрения в	1	1
42	так как он	1	1
43	что и сама	1	1
44	как и в	1	1
45	в данном случае	1	1
46	каждый из этих	1	1
47	что в основе	1	1
48	что во время	1	1
49	можно говорить о	1	1
50	не до конца	1	1
51	это имеет место	2	1
52	приведем несколько примеров	1	1
53	это не значит	2	1
54	но и другие	1	1
55	объясняется тем что	1	1
56	еде и питью	1	1
57	здесь изображается как	1	1
58	тех местах где	2	1
59	и как бы	1	1
60	в то время	1	1
61	в свою очередь	2	1
62	о том что	4	1
63	в одном из	1	1
64	с тем что	1	1
65	оно было освящено	1	1
66	но все же	2	1
67	и по другим	1	1
68	можно сказать что	1	1
69	одного и того	1	1
70	к тому что	4	1
71	состояло в том	2	1
72	в совершенно ином	1	1
73	что и в	1	1
74	мы наблюдаем в	1	1
75	как мы видели	1	1
