N	3gram	Voloshinov_1	Tragedij
1	так и в	1	3
2	в данном случае	1	2
3	в году в	1	2
4	о том что	2	2
5	в том что	1	2
6	ни разу не	1	1
7	в известной степени	1	1
8	это желание в	1	1
9	в этой борьбе	1	1
10	на противоположном конце	1	1
11	но несмотря на	1	1
12	в применении к	1	1
13	во всяком случае	3	1
14	в высшей степени	1	1
15	и в этом	2	1
16	по сравнению с	3	1
17	не могут быть	2	1
18	в связи с	1	1
19	не может быть	3	1
20	на вопрос о	1	1
21	если б я	1	1
22	только на путях	1	1
23	это и есть	1	1
24	еще в году	1	1
25	с самого начала	4	1
26	в самом деле	2	1
