N	3gram	Propp_Russ_1	Dialekti
1	и т д	9	15
2	с точки зрения	3	8
3	не потому что	1	6
4	в том что	15	6
5	и не только	1	5
6	потому что она	1	5
7	и та же	1	4
8	в связи с	4	4
9	одна и та	1	4
10	о том что	4	4
11	только тогда когда	1	4
12	что иное как	2	3
13	в таком случае	1	3
14	как будто бы	1	3
15	может быть и	2	3
16	т е в	1	3
17	не что иное	2	3
18	в то время	1	3
19	можно сказать что	1	3
20	не значит что	2	3
21	мы уже знаем	1	3
22	потому что он	1	2
23	иметь в виду	1	2
24	в виду что	1	2
25	т д и	1	2
26	и т п	1	2
27	в данном случае	1	2
28	не только в	1	2
29	так как это	1	2
30	тем не менее	3	2
31	это не значит	2	2
32	во всяком случае	1	2
33	но это не	2	2
34	потому что они	1	2
35	том что в	6	1
36	бросается в глаза	1	1
37	взгляд на них	1	1
38	только потому что	1	1
39	на самом деле	1	1
40	подобно тому как	1	1
41	одна из основных	1	1
42	только одно из	1	1
43	же как и	1	1
44	связанные с этим	1	1
45	на самом же	1	1
46	в себе и	1	1
47	в этом отношении	1	1
48	что не только	1	1
49	точно так же	1	1
50	вместе с тем	6	1
51	в это время	2	1
52	так же как	1	1
53	как они не	1	1
54	на землю на	1	1
55	так как они	2	1
56	и в этом	1	1
57	с наступлением весны	1	1
58	приводит к тому	1	1
59	все же не	2	1
60	необходимо иметь в	1	1
61	и в том	1	1
62	и пр и	1	1
63	сливаются в одно	1	1
64	не только потому	1	1
65	друг с другом	1	1
66	перед нами как	1	1
67	и как бы	1	1
68	об этом мы	1	1
69	во многих отношениях	1	1
70	к выводу что	2	1
71	что и в	1	1
72	вопрос о том	1	1
73	но все же	2	1
74	несмотря на все	1	1
75	не только на	2	1
76	как мы уже	1	1
77	к тому что	4	1
78	это показывает что	2	1
79	с религией или	1	1
80	самом же деле	1	1
81	так и из	1	1
82	независимо от того	1	1
