N	3gram	Bakhtin_Fr_7	NovoeSre
1	в средние века	4	3
2	со всех сторон	1	3
3	в этом смысле	1	2
4	что в нем	1	2
5	все эти формы	1	2
6	в том и	1	2
7	по своей природе	1	1
8	что в этом	1	1
9	античного мира и	1	1
10	жизни все это	1	1
11	есть прежде всего	1	1
12	в том числе	4	1
13	себе и в	1	1
14	в эпоху ренессанса	3	1
15	о том чтобы	1	1
16	но и в	1	1
17	том числе и	2	1
18	истории как и	1	1
19	можно было бы	2	1
20	сферы культуры и	1	1
21	и не в	1	1
22	и через них	1	1
23	было бы сказать	1	1
24	не только в	1	1
25	глубину в недра	1	1
26	еще не было	1	1
27	xiv и xv	1	1
28	нового времени он	2	1
29	средние века были	1	1
30	во всяком случае	1	1
31	не должно быть	2	1
32	хотя и в	1	1
33	о том что	1	1
34	то что в	2	1
35	в значительной степени	2	1
36	начало новой эпохи	1	1
37	это и есть	1	1
38	не в силах	1	1
39	в глубину в	1	1
40	и все они	2	1
41	выходит за пределы	1	1
42	того же процесса	1	1
43	от этого мира	1	1
44	в большинстве случаев	2	1
45	имя свое и	1	1
46	это не есть	1	1
47	в том что	3	1
48	как и в	2	1
