N	3gram	Ircho_Kome_2	Sovremen
1	с точки зрения	1	5
2	не может быть	1	4
3	с самого начала	1	3
4	тем не менее	1	2
5	друг с другом	2	2
6	во всяком случае	2	2
7	в отличие от	2	2
8	в свою очередь	1	2
9	так как он	1	2
10	в начале нашего	1	1
11	же мере в	1	1
12	тот или другой	1	1
13	ни в один	1	1
14	в связи с	3	1
15	по отношению к	3	1
16	одна и та	1	1
17	как и во	1	1
18	в этом смысле	2	1
19	не было бы	1	1
20	и еще более	1	1
21	до сих пор	2	1
22	и во всех	1	1
23	то же время	3	1
24	и в то	1	1
25	представление о том	1	1
26	сих пор в	1	1
27	бы то ни	2	1
28	мы помним что	1	1
29	и та же	1	1
30	а может быть	1	1
31	но все эти	1	1
32	можно было бы	2	1
33	легла в основу	1	1
34	в самом деле	1	1
35	той или иной	1	1
36	но все же	1	1
37	одна из них	1	1
38	но уже в	1	1
39	что в каждом	1	1
40	все же это	1	1
41	в том случае	1	1
42	в то же	3	1
43	может быть таким	1	1
44	в том что	5	1
45	в этой области	1	1
46	в обоих случаях	2	1
47	то ни было	2	1
48	в первом же	1	1
49	с одной стороны	2	1
50	на этот раз	4	1
