N	4gram	Bakhtin_sl_1	FransuaR
1	в то же время	12	8
2	и в то же	5	4
3	на самом же деле	1	2
4	дело в том что	1	1
5	и до наших дней	1	1
6	тем чем они были	1	1
7	одно и то же	2	1
8	как мы уже сказали	2	1
9	это не значит конечно	1	1
10	большинстве случаев все эти	1	1
11	хотя может быть и	1	1
12	в его контексте и	1	1
13	в нем до конца	1	1
14	здесь перед нами в	1	1
15	в то время как	2	1
16	точки зрения на мир	2	1
17	не значит конечно что	1	1
18	и это отношение к	1	1
19	в узком смысле слова	1	1
20	но в то же	4	1
21	в большинстве случаев все	1	1
22	и то же слово	2	1
23	быть тем чем они	1	1
