N	2gram	Bakhtin_Pr_2	Problemy
1	и в	43	53
2	то есть	4	48
3	и т.п	1	31
4	и на	10	18
5	у достоевского	14	17
6	прежде всего	10	15
7	и не	29	15
8	в том	6	14
9	и др	2	14
10	как бы	22	14
11	во всех	4	12
12	может быть	23	12
13	как и	14	11
14	а не	7	11
15	том числе	1	11
16	в сущности	9	10
17	творчества достоевского	1	10
18	и его	8	10
19	числе и	1	10
20	и все	6	10
21	в нем	12	10
22	здесь в	3	10
23	сказать что	2	10
24	все эти	5	9
25	по своей	1	9
26	жизни и	1	9
27	то что	7	9
28	и другие	1	9
29	в этом	13	8
30	в жизни	3	8
31	все это	5	8
32	в духе	1	8
33	можно сказать	1	8
34	в его	10	8
35	со всеми	3	8
36	в творчестве	2	8
37	если б	1	7
38	человека и	2	7
39	как в	2	7
40	одна из	2	7
41	так как	4	7
42	но и	14	7
43	то же	8	6
44	и ее	3	6
45	отношение к	2	6
46	это не	3	6
47	достоевского и	2	6
48	ничего не	3	6
49	к себе	7	6
50	таким образом	5	6
51	в себя	3	6
52	так и	3	6
53	и с	5	6
54	в форме	2	6
55	один из	1	6
56	по своему	2	6
57	более того	4	6
58	его творчества	2	6
59	себе самому	4	6
60	например в	2	5
61	и до	4	5
62	мы уже	3	5
63	той же	3	5
64	из подполья	2	5
65	еще не	9	5
66	но не	5	5
67	перед нами	7	5
68	в себе	5	5
69	так сказать	6	5
70	было бы	5	5
71	том что	2	5
72	в то	7	5
73	в основе	1	5
74	же время	5	5
75	как мы	10	5
76	в мире	1	5
77	с самим	8	5
78	творчестве достоевского	3	5
79	мы можем	2	5
80	до сих	7	5
81	и потому	1	5
82	по существу	3	5
83	сих пор	7	5
84	еще более	2	5
85	в этих	6	5
86	и к	3	5
87	но в	10	5
88	также и	3	4
89	ивана карамазова	2	4
90	мы не	4	4
91	достоевского мы	1	4
92	я не	4	4
93	конечно и	1	4
94	он сам	3	4
95	хотя и	5	4
96	в другие	1	4
97	не только	11	4
98	в каждом	11	4
99	а затем	2	4
100	значение в	2	4
101	все равно	1	4
102	и для	3	4
103	точки зрения	13	4
104	но они	1	4
105	могут быть	3	4
106	самим собою	5	4
107	художественной прозы	1	4
108	особенно в	2	4
109	и во	1	4
110	во всей	1	4
111	нас интересует	1	4
112	здесь не	6	4
113	образов и	1	4
114	одной из	1	4
115	что он	13	4
116	только в	4	4
117	это очень	1	4
118	конечно не	2	4
119	в большинстве	9	4
120	большинстве случаев	8	4
121	из них	2	4
122	к самому	3	4
123	не было	1	4
124	здесь конечно	1	4
125	не знает	3	4
126	к этому	1	4
127	одним из	1	3
128	и через	1	3
129	и это	4	3
130	достоевского в	4	3
131	почти всегда	2	3
132	все здесь	1	3
133	мы здесь	2	3
134	в ее	1	3
135	не то	1	3
136	кроме того	3	3
137	и если	1	3
138	при этом	6	3
139	он не	9	3
140	и по	1	3
141	с другими	1	3
142	произведениях достоевского	4	3
143	или менее	3	3
144	в своей	4	3
145	и без	2	3
146	но это	4	3
147	не менее	3	3
148	произведения достоевского	1	3
149	все то	1	3
150	и другой	1	3
151	человека в	4	3
152	все еще	1	3
153	не могу	2	3
154	типа в	1	3
155	мы наблюдаем	2	3
156	в образе	2	3
157	здесь как	1	3
158	и вообще	1	3
159	но к	2	3
160	каждом из	1	3
161	что и	3	3
162	большей или	1	3
163	и так	2	3
164	есть в	3	3
165	в конце	2	3
166	вовсе не	5	3
167	и из	1	3
168	или меньшей	1	3
169	достоевского с	1	3
170	и особенно	2	3
171	слова и	12	3
172	например у	2	3
173	и от	1	3
174	себя самого	1	3
175	от него	1	3
176	в эту	3	3
177	для достоевского	3	3
178	очень хорошо	2	3
179	более или	3	3
180	ее в	2	3
181	они не	1	3
182	здесь еще	1	2
183	того же	3	2
184	а между	2	2
185	силы и	1	2
186	в чисто	1	2
187	собственном смысле	1	2
188	не боится	1	2
189	новая разновидность	1	2
190	жанр но	1	2
191	мы и	2	2
192	за всеми	3	2
193	достоевского почти	1	2
194	меньшей степени	1	2
195	литературы и	1	2
196	с его	4	2
197	возможности и	1	2
198	по отношению	5	2
199	менее всего	1	2
200	в одной	3	2
201	с этим	2	2
202	героев достоевского	4	2
203	и наконец	6	2
204	и отчасти	1	2
205	в самом	7	2
206	что это	2	2
207	уже в	2	2
208	с их	2	2
209	как он	2	2
210	полемики с	1	2
211	здесь мы	2	2
212	его характера	1	2
213	конечно в	2	2
214	его в	3	2
215	и тем	1	2
216	в них	4	2
217	достаточно сравнить	1	2
218	далеко не	4	2
219	и тон	1	2
220	или наоборот	1	2
221	романы достоевского	1	2
222	и уже	1	2
223	и скрытой	1	2
224	с точки	8	2
225	в их	3	2
226	что я	6	2
227	значение для	2	2
228	в диалог	1	2
229	жанра в	1	2
230	не в	11	2
231	тем не	2	2
232	их в	4	2
233	проявляется и	1	2
234	при всех	1	2
235	с ним	3	2
236	это еще	1	2
237	ли бы	1	2
238	да и	5	2
239	этих двух	1	2
240	уже говорили	3	2
241	и мысли	2	2
242	в сознании	1	2
243	как будто	1	2
244	ну а	1	2
245	особый тип	1	2
246	в собственном	1	2
247	почти каждый	1	2
248	времени и	2	2
249	живет в	1	2
250	достоевский нашел	1	2
251	во многом	1	2
252	связанная с	1	2
253	но здесь	5	2
254	о том	5	2
255	к одному	6	2
256	все его	2	2
257	диалога с	1	2
258	а у	1	2
259	между тем	3	2
260	тем достоевского	1	2
261	быть и	2	2
262	в двух	1	2
263	мы видим	1	2
264	тот же	3	2
265	хотя бы	2	2
266	во всем	3	2
267	этого рассказа	1	2
268	произведений достоевского	2	2
269	вот что	1	2
270	и они	2	2
271	в начале	1	2
272	и их	3	2
273	в известной	1	2
274	мы находим	1	2
275	здесь перед	1	2
276	тому же	3	2
277	при всей	1	2
278	не о	1	2
279	но он	4	2
280	тем что	3	2
281	никогда не	9	2
282	нет этого	1	2
283	и даже	3	2
284	с другой	4	2
285	наконец в	3	2
286	себя и	3	2
287	говорит о	1	2
288	идеи в	1	2
289	в рассказе	3	2
290	жизнь в	1	2
291	мы остановимся	1	2
292	в связи	1	2
293	очень важное	1	2
294	не может	18	2
295	о себе	7	2
296	вместе с	1	2
297	как это	1	2
298	б я	1	2
299	в той	5	2
300	смысле этого	1	2
301	для понимания	2	2
302	в смысле	1	2
303	к другим	1	2
304	человек и	2	2
305	что в	4	2
306	тем более	1	2
307	в большей	1	2
308	несмотря на	1	2
309	а в	5	2
310	два часа	1	2
311	слово в	8	2
312	между ними	4	2
313	карамазова с	1	2
314	есть и	3	2
315	основные особенности	1	2
316	его творчестве	1	2
317	в таком	2	2
318	а я	1	2
