N	3gram	Medvedev_V_1	Sovremen
1	в каждом отдельном	2	5
2	в зависимости от	5	4
3	не может быть	8	4
4	не может не	2	3
5	мы видели что	3	3
6	во всяком случае	1	2
7	в свою очередь	1	2
8	не подлежит сомнению	1	2
9	может быть и	1	2
10	то же самое	1	2
11	зависимости от различных	1	1
12	хотим сказать что	1	1
13	и может быть	1	1
14	быть и речи	1	1
15	и есть то	1	1
16	одной стороны и	2	1
17	которая не может	2	1
18	по крайней мере	2	1
19	не могут быть	1	1
20	его таким образом	1	1
21	в которой он	1	1
22	не в том	2	1
23	в связи с	3	1
24	оно может быть	1	1
25	по отношению к	7	1
26	равно как и	4	1
27	в новое время	1	1
28	но ведь это	1	1
29	в этом смысле	1	1
30	так же как	1	1
31	а не только	1	1
32	не было бы	4	1
33	и благодаря этому	1	1
34	до сих пор	1	1
35	и во всех	1	1
36	то же время	5	1
37	тот или иной	1	1
38	и в то	3	1
39	разобраться в этой	1	1
40	сами по себе	1	1
41	по аналогии с	1	1
42	нет единства в	1	1
43	прежде всего необходимо	1	1
44	в конечном счете	5	1
45	в науке и	1	1
46	заключает в себе	1	1
47	можно было бы	2	1
48	и не может	2	1
49	в самом деле	1	1
50	по его мнению	1	1
51	той или иной	1	1
52	мы знаем что	2	1
53	одна из них	1	1
54	мы говорим о	1	1
55	в том случае	1	1
56	в то же	5	1
57	мы видим что	1	1
58	те или иные	1	1
59	что все они	1	1
60	говорить только о	1	1
61	в том что	5	1
62	в этой области	3	1
63	в данном случае	1	1
64	на этот вопрос	1	1
65	может быть в	1	1
66	с одной стороны	2	1
67	именно в том	1	1
