N	3gram	Propp_Russ_2	OGranits
1	не может быть	3	4
2	что иное как	2	2
3	но так как	1	2
4	в данном случае	6	2
5	с одной стороны	2	2
6	с другой стороны	1	2
7	не что иное	2	2
8	в том что	18	2
9	в другом месте	1	1
10	том что в	1	1
11	и связанных с	1	1
12	в одном ряду	1	1
13	иметь в виду	1	1
14	в виду что	1	1
15	более или менее	1	1
16	с одним из	1	1
17	подобно тому как	3	1
18	и в некоторых	2	1
19	но далеко не	1	1
20	в отличие от	3	1
21	между тем как	1	1
22	в этом отношении	1	1
23	то что в	1	1
24	можно было бы	1	1
25	может быть и	1	1
26	для того чтобы	6	1
27	так же как	4	1
28	может быть не	1	1
29	ничего общего не	1	1
30	эта связь с	1	1
31	состоит в том	13	1
32	не входит в	1	1
33	тем не менее	2	1
34	в нашу задачу	1	1
35	но может быть	1	1
36	входит в нашу	1	1
37	все то что	1	1
38	в тех случаях	1	1
39	мы не можем	2	1
40	не только на	1	1
41	на эту связь	1	1
42	в течение всего	1	1
43	на то что	1	1
44	тех случаях когда	1	1
45	как и в	1	1
46	общего не имеет	1	1
