N	4gram	Vinokur_St_3	KulturaY
1	и тем не менее	2	4
2	в то же время	3	3
3	и т п в	1	2
4	с этой точки зрения	1	2
5	и т п но	1	2
6	и в самом деле	1	2
7	не говоря уже о	1	2
8	и пр ср также	1	1
9	пр с точки зрения	1	1
10	я имею в виду	1	1
11	вообще и в частности	1	1
12	дело не в том	1	1
13	одной и той же	1	1
14	состоит в том что	2	1
15	не в том чтобы	1	1
16	по крайней мере дважды	1	1
17	о котором говорилось выше	1	1
18	все это однако не	1	1
19	и то обстоятельство что	1	1
20	то обстоятельство что в	1	1
21	как можно было бы	1	1
22	в то время как	4	1
23	и свое место в	1	1
24	об этом ниже а	1	1
25	и пр с точки	1	1
26	все более и более	2	1
27	заключается в том что	2	1
28	приводит к тому что	1	1
29	в связи с этим	1	1
30	мы имеем здесь дело	1	1
