N	3gram	Bakhtin_Fr_6	PoTuStor
1	с точки зрения	2	6
2	до сих пор	3	3
3	мы полагаем что	1	3
4	не может быть	1	3
5	можно сказать что	1	3
6	в большинстве случаев	4	3
7	связанных с ними	1	2
8	в самом деле	4	2
9	все то что	4	2
10	о том что	5	2
11	во всех его	3	2
12	и с его	2	2
13	нечего и говорить	1	2
14	и того же	1	1
15	несколько слов о	1	1
16	и связанных с	1	1
17	тела и с	1	1
18	не дает нам	1	1
19	дело в том	1	1
20	из этих трех	1	1
21	если б я	1	1
22	в нем и	1	1
23	одного и того	1	1
24	мы можем коснуться	1	1
25	сих пор еще	3	1
26	что если б	1	1
27	на первый план	3	1
28	как мы сказали	1	1
29	в этом отношении	3	1
30	как это было	1	1
31	рано или поздно	1	1
32	и говорить о	1	1
33	именно то что	1	1
34	со всех сторон	1	1
35	вместе с тем	1	1
36	только для того	1	1
37	нужно отметить что	1	1
38	именно здесь в	1	1
39	со всеми его	2	1
40	в данном случае	2	1
41	никакому сомнению что	1	1
42	и т.п и	2	1
43	и борьба с	1	1
44	с одной стороны	4	1
45	и об его	1	1
46	в связи с	1	1
47	как один из	2	1
48	а с другой	1	1
49	в этом легко	1	1
50	самом деле в	1	1
51	в том что	2	1
52	в основном у	1	1
53	так как его	1	1
54	во внешнем мире	1	1
55	и прежде всего	2	1
56	в этом своем	1	1
57	и что он	1	1
58	вводит нас в	1	1
59	для того чтобы	1	1
60	к себе все	1	1
61	чрезвычайно характерно для	1	1
62	той или иной	1	1
