N	2gram	Nazirov_Tv_2	Retstnzi
1	не может	7	4
2	и в	20	3
3	один из	3	2
4	и школы	1	2
5	если в	1	2
6	достоевского и	2	2
7	этого исследователя	1	1
8	нет и	2	1
9	и событий	1	1
10	художественного целого	1	1
11	и не	9	1
12	тому что	1	1
13	не только	13	1
14	художественного произведения	1	1
15	связи с	1	1
16	событий и	1	1
17	во второй	1	1
18	но и	8	1
19	и должно	1	1
20	не менее	2	1
21	с другими	2	1
22	русской литературы	1	1
23	ничего кроме	1	1
24	не из	1	1
25	может и	1	1
26	в то	10	1
27	и на	5	1
28	первая часть	4	1
29	для него	3	1
30	мы видим	4	1
31	может не	1	1
32	в анализе	1	1
33	анализа и	1	1
34	к тому	1	1
35	а не	6	1
36	может быть	8	1
37	несмотря на	1	1
38	в его	10	1
39	же время	7	1
40	то же	7	1
41	из этих	1	1
42	если бы	4	1
43	в каждом	1	1
