N	3gram	Ircho_Kome_2	Stilisti
1	в то же	3	9
2	то же время	3	7
3	для того чтобы	4	7
4	с точки зрения	1	5
5	того или иного	1	5
6	в свою очередь	1	4
7	с самого начала	1	4
8	той или иной	1	4
9	в той же	2	3
10	но и в	1	3
11	не только в	1	3
12	но все же	1	3
13	как мы видели	1	3
14	должны были бы	1	2
15	в так называемой	1	2
16	но об этом	1	2
17	само собой разумеется	1	2
18	тех случаях когда	1	2
19	и в то	1	2
20	вместе с тем	4	2
21	не было бы	1	2
22	только потому что	2	2
23	чуть ли не	2	2
24	не может быть	1	2
25	в тех случаях	1	2
26	связи с этим	1	2
27	о том что	4	2
28	в связи с	3	2
29	к тому что	2	2
30	частей из которых	1	1
31	в голову не	1	1
32	то хотя бы	1	1
33	и к тому	1	1
34	а затем и	2	1
35	по отношению к	3	1
36	более или менее	1	1
37	с их точки	2	1
38	не говоря уже	2	1
39	их точки зрения	2	1
40	в самом деле	1	1
41	до сих пор	2	1
42	и во всех	1	1
43	из них в	1	1
44	и та же	1	1
45	независимо от того	2	1
46	в каком направлении	1	1
47	можно было бы	2	1
48	для того времени	1	1
49	на протяжении почти	2	1
50	в большинстве случаев	1	1
51	по отдельным строчкам	1	1
52	с каждым новым	1	1
53	в качестве примера	1	1
54	по сравнению с	1	1
55	тем не менее	1	1
56	благодаря тому что	1	1
57	не является чем-то	1	1
58	одна и та	1	1
59	и в голову	1	1
60	но там оно	1	1
61	в ней также	1	1
62	и уже в	1	1
63	само по себе	1	1
64	протяжении почти всей	1	1
65	хотя бы в	1	1
66	происходит и в	1	1
67	с другой стороны	1	1
68	только в том	1	1
69	но все эти	1	1
70	как можно более	1	1
71	той же мере	1	1
72	все это как	1	1
73	в том что	5	1
74	в пределах одного	1	1
