N	3gram	Nazirov_Tr_1	Literetu
1	в том что	2	11
2	в отличие от	2	5
3	то же время	5	5
4	в то же	5	5
5	в данном случае	2	4
6	в связи с	1	4
7	и то что	1	2
8	в виду не	1	2
9	но при этом	1	2
10	во всяком случае	1	2
11	уже в году	1	2
12	еще в году	1	2
13	о том что	2	2
14	тем не менее	1	2
15	том что он	1	1
16	и в частности	2	1
17	в этой связи	1	1
18	но в то	2	1
19	в самом деле	1	1
20	в xix веке	1	1
21	и в этом	1	1
22	не в силах	2	1
23	не может быть	1	1
24	xx века в	1	1
25	это должно быть	1	1
26	больше в нем	1	1
27	с самого начала	1	1
28	но все же	2	1
29	стихах и прозе	1	1
30	и даже отчасти	1	1
31	это уже было	1	1
32	в стихах и	1	1
