N	2gram	Losev_Dial_3	UchenyiS
1	и в	24	14
2	а не	26	10
3	не только	23	10
4	прежде всего	8	8
5	и не	27	8
6	не может	19	7
7	вот почему	1	7
8	в этом	8	7
9	то что	14	7
10	может быть	13	6
11	то же	6	5
12	и только	6	5
13	все это	6	5
14	хотя бы	4	5
15	перестает быть	2	5
16	с другой	4	4
17	но и	9	4
18	что такое	21	4
19	в их	2	4
20	в конечном	1	4
21	конечном счете	1	4
22	конечно не	4	4
23	то ни	1	3
24	и то	4	3
25	это не	4	3
26	было бы	5	3
27	как и	7	3
28	для этого	2	3
29	в частности	2	3
30	бы то	2	3
31	и формы	2	3
32	в то	5	3
33	все же	3	3
34	но в	2	3
35	же время	3	3
36	только к	2	3
37	у нас	4	3
38	другой стороны	2	3
39	для него	4	3
40	не как	1	3
41	ни было	1	3
42	не о	2	3
43	как такового	1	3
44	что все	14	2
45	крайней мере	5	2
46	именно как	3	2
47	и с	6	2
48	до сих	1	2
49	а как	1	2
50	их взаимоотношении	1	2
51	это было	3	2
52	самом деле	6	2
53	должна быть	6	2
54	выдвигает на	1	2
55	в некоторых	1	2
56	превращается в	6	2
57	мы не	5	2
58	не приходится	1	2
59	о чем	1	2
60	если бы	6	2
61	что мы	8	2
62	ничего не	17	2
63	как таковой	2	2
64	если не	3	2
65	том что	8	2
66	на первый	4	2
67	но даже	3	2
68	мы и	4	2
69	этого термина	1	2
70	надо было	1	2
71	ни от	4	2
72	нас в	2	2
73	с его	2	2
74	но не	2	2
75	в сторону	1	2
76	в его	2	2
77	по крайней	5	2
78	по существу	2	2
79	что и	6	2
80	по себе	20	2
81	сих пор	1	2
82	но это	5	2
83	в том	5	2
84	тех или	2	2
85	и для	2	2
86	что он	13	2
87	в себе	2	2
88	в самом	7	2
89	и у	2	2
90	только в	5	2
91	не в	3	2
92	и является	2	2
93	вопроса о	1	2
94	очевидно не	1	2
95	как принцип	1	2
96	не есть	54	2
97	этом отношении	1	2
98	или иных	1	2
99	фактов и	2	2
100	конечно нет	1	2
101	бы и	1	2
102	всех этих	1	2
103	не могут	4	2
104	могут быть	2	2
105	же самое	1	2
106	как раз	7	2
107	тем что	3	2
108	что она	9	2
109	таким образом	13	2
110	даже и	7	2
111	для себя	2	1
112	и это	4	1
113	как таковым	1	1
114	об этом	6	1
115	есть конечно	2	1
116	же как	2	1
117	связанных с	1	1
118	в этот	1	1
119	даже не	6	1
120	то есть	1	1
