N	2gram	Berdyaev_N_1	DiskursI
1	не только	5	28
2	в том	8	23
3	а не	17	22
4	том что	2	19
5	может быть	7	17
6	как и	7	16
7	и в	16	16
8	в этом	7	15
9	еще не	3	14
10	но и	3	14
11	и т.п	2	12
12	по своей	1	11
13	но не	2	11
14	прежде всего	4	11
15	и не	11	11
16	как в	3	10
17	с другой	3	10
18	в нем	5	9
19	не может	16	9
20	с одной	2	9
21	одной стороны	2	9
22	но в	2	8
23	своего рода	1	8
24	о том	4	8
25	так и	2	8
26	а также	1	8
27	не было	4	7
28	в себе	2	7
29	не в	6	7
30	в основе	3	7
31	роль в	2	7
32	в его	1	7
33	только в	1	7
34	в своем	1	6
35	ни к	2	6
36	и на	2	5
37	во всех	3	5
38	отличие от	1	5
39	природе своей	1	5
40	в силу	1	5
41	в котором	1	5
42	в отличие	1	5
43	по природе	1	5
44	в эпоху	9	5
45	можно сказать	1	5
46	к тому	3	5
47	а в	2	5
48	то что	4	5
49	в своей	3	5
50	с его	6	4
51	в истории	3	4
52	и к	5	4
53	уже не	2	4
54	лишь в	6	4
55	в них	4	4
56	привело к	1	4
57	потому что	4	4
58	могут быть	2	4
59	для себя	1	4
60	что он	1	4
61	что не	1	4
62	далеко еще	1	4
63	такого рода	2	4
64	что в	9	4
65	того же	1	3
66	и потому	4	3
67	с этим	2	3
68	в самом	1	3
69	это не	4	3
70	и того	1	3
71	по себе	1	3
72	в то	2	3
73	к той	1	3
74	должны быть	1	3
75	как не	8	3
76	в ее	3	3
77	времени и	2	3
78	не с	1	3
79	еще в	1	3
80	и даже	2	3
81	имея в	1	3
82	хотя бы	2	3
83	из них	1	3
84	к ним	3	3
85	тем что	1	3
86	к содержанию	2	3
87	по своему	4	3
88	тому как	3	3
89	в свою	1	3
90	на смену	1	3
91	сказать что	3	3
92	другой стороны	2	3
93	и есть	10	2
94	в сущности	1	2
95	на себя	1	2
96	в виду	1	2
97	в новом	2	2
98	за пределы	3	2
99	себя в	2	2
100	хотя и	2	2
101	в этой	1	2
102	эпохи и	4	2
103	том чтобы	2	2
104	подобно тому	3	2
105	человека в	1	2
106	не всегда	1	2
107	одного и	1	2
108	мысли и	2	2
109	не менее	4	2
110	в наше	3	2
111	своей природе	1	2
112	и его	1	2
113	к себе	1	2
114	числе и	1	2
115	значительной степени	1	2
116	не есть	3	2
117	оно не	1	2
118	с ее	5	2
119	характер и	1	2
120	приводит к	1	2
121	а по	1	2
122	во всяком	1	2
123	и что	2	2
124	в значительной	1	2
125	времени в	2	2
126	это было	3	2
127	на протяжении	2	2
128	и во	1	2
129	наше время	4	2
130	современной культуры	1	2
131	есть в	2	2
132	уже в	1	2
133	свидетельствует о	1	2
134	слова в	1	2
135	сами по	1	2
136	никогда не	6	2
137	на ее	1	2
138	к которому	1	2
139	зависит от	2	2
140	одну из	1	2
141	жизни в	3	2
142	и было	2	2
143	за его	1	2
144	особого рода	1	2
145	и все	4	2
146	будто бы	1	2
147	они не	1	2
148	том числе	1	2
149	новое время	4	1
150	нем нет	2	1
151	бытия а	1	1
152	переход от	1	1
153	это и	2	1
154	не хочет	1	1
155	и до	1	1
156	жизни для	1	1
157	т.п так	1	1
158	возвращения к	1	1
159	говорить о	1	1
160	но она	2	1
161	я не	2	1
162	в xix	1	1
163	стоят на	2	1
164	на них	1	1
165	не могу	1	1
166	истории в	5	1
167	и большая	2	1
168	только потому	1	1
169	себе и	1	1
170	нет и	2	1
171	с их	2	1
172	и нет	1	1
173	обращения к	1	1
174	власти от	1	1
175	это представляется	2	1
176	всего как	1	1
177	отнесены к	1	1
178	в которой	1	1
179	не был	1	1
180	он в	1	1
181	из этих	1	1
182	по преимуществу	1	1
183	человек не	1	1
184	быть только	1	1
185	что она	2	1
186	он не	8	1
187	к одному	1	1
188	не к	2	1
189	нашего времени	2	1
190	и заключается	2	1
191	но все	1	1
192	не будет	7	1
193	этом он	1	1
194	значение в	1	1
195	в мире	3	1
196	необходимой для	1	1
197	общества в	1	1
198	с другими	1	1
199	этом смысле	2	1
200	своей основе	1	1
201	в новое	3	1
202	в жизни	5	1
203	для них	1	1
204	протекающей в	1	1
205	с большей	1	1
206	с тем	3	1
207	более не	2	1
208	мы не	2	1
209	более глубоком	1	1
210	в этих	1	1
211	во время	1	1
212	она сама	1	1
213	что такое	3	1
214	не столько	1	1
215	чем современная	1	1
216	мир и	2	1
217	движение к	1	1
218	в россии	3	1
219	и более	1	1
220	не могли	2	1
221	том и	2	1
222	не должно	1	1
223	не должна	1	1
224	и вся	1	1
225	рода в	1	1
226	с миром	1	1
227	она могла	1	1
228	истории с	1	1
229	не имеет	4	1
230	не по	1	1
231	для всех	1	1
232	во всем	1	1
233	как будто	2	1
234	в каком	1	1
235	замкнутой и	1	1
236	и оно	1	1
237	не могут	1	1
238	в речах	1	1
239	выход из	1	1
240	и должно	2	1
241	когда мы	2	1
242	во все	1	1
243	и вполне	1	1
244	в категориях	2	1
245	про себя	1	1
246	но также	1	1
247	и иерархическое	1	1
248	все еще	1	1
249	отказаться от	1	1
250	но сама	1	1
251	и это	2	1
252	же так	1	1
253	на нем	1	1
254	средних веков	1	1
255	и от	2	1
256	россии в	1	1
257	чтобы быть	1	1
258	так на	1	1
259	и про	1	1
260	которого происходит	1	1
261	быть в	2	1
262	то они	1	1
263	что его	1	1
264	теперь и	1	1
265	должно было	2	1
