N	2gram	Ircho_Kome_1	slovoVRo
1	и в	22	39
2	может быть	9	37
3	и т	9	35
4	и его	8	33
5	т п	5	33
6	то есть	1	26
7	не только	10	24
8	и не	8	22
9	но и	11	21
10	не может	2	20
11	в нем	4	19
12	до конца	2	17
13	в этом	3	16
14	все это	5	16
15	так и	5	15
16	отличие от	2	13
17	как в	5	13
18	во всех	1	12
19	в отличие	1	12
20	в истории	5	11
21	слово в	1	11
22	вовсе не	2	10
23	к своему	1	9
24	и с	3	9
25	не в	6	9
26	со своим	5	9
27	таким образом	8	8
28	себя в	1	8
29	прежде всего	5	8
30	слова и	1	8
31	точки зрения	4	8
32	еще не	2	7
33	при этом	5	7
34	в этих	1	7
35	с ним	1	7
36	могут быть	3	7
37	как мы	4	7
38	в его	5	7
39	и даже	5	7
40	и потому	1	7
41	как бы	1	7
42	в сущности	2	6
43	но не	2	6
44	в своем	1	6
45	все же	3	6
46	и к	1	6
47	но в	4	6
48	значительной степени	1	6
49	в них	3	6
50	как и	9	6
51	в значительной	1	6
52	в большинстве	1	6
53	жизни и	1	6
54	человека в	1	5
55	том что	12	5
56	по себе	1	5
57	не могут	1	5
58	но все	1	5
59	мира и	1	5
60	с другой	5	5
61	один из	5	5
62	в том	11	5
63	с одной	3	5
64	одной стороны	3	5
65	большинстве случаев	1	5
66	и для	1	5
67	только в	3	5
68	от него	1	5
69	и все	3	5
70	в зависимости	1	4
71	и на	3	4
72	по отношению	3	4
73	отношение к	3	4
74	связанные с	2	4
75	то же	6	4
76	художественный образ	2	4
77	его в	3	4
78	в новое	2	4
79	ни в	6	4
80	в отношении	6	4
81	не менее	3	4
82	в то	10	4
83	одна из	2	4
84	же время	4	4
85	во всем	1	4
86	зависимости от	1	4
87	для этого	2	4
88	наконец в	1	4
89	дело с	1	4
90	поэтому и	1	4
91	для всех	2	4
92	и других	7	4
93	так как	4	4
94	даже и	1	4
95	и др	1	4
96	и мир	2	4
97	в той	1	4
98	в основном	1	4
99	а в	6	4
100	отношении к	1	4
101	слова с	1	4
102	отношению к	3	4
103	в таком	1	4
104	ту же	2	3
105	как это	3	3
106	той же	1	3
107	говорить о	1	3
108	в чем	3	3
109	перед нами	1	3
110	и как	3	3
111	не приходится	1	3
112	на этом	2	3
113	не была	1	3
114	его от	1	3
115	этом отношении	3	3
116	действует в	1	3
117	в ней	1	3
118	а также	4	3
119	к нему	2	3
120	между тем	5	3
121	что и	4	3
122	у него	3	3
123	отметить что	1	3
124	в особенности	1	3
125	точек зрения	2	3
126	здесь в	3	3
127	в свою	2	3
128	материал в	1	3
129	но это	2	3
130	слово здесь	1	3
131	что в	6	3
132	хотя бы	1	3
133	сказать что	1	3
134	во всяком	2	3
135	новое время	3	2
136	можно говорить	1	2
137	одним из	1	2
138	также и	1	2
139	мы уже	1	2
140	мы не	3	2
141	темы в	1	2
142	именно к	1	2
143	с ее	2	2
144	х годов	3	2
145	по замыслу	1	2
146	всех сторон	1	2
147	не все	1	2
148	за пределы	2	2
149	на социальную	1	2
150	с этим	1	2
151	хотя и	3	2
152	бы только	1	2
153	более или	1	2
154	в себе	2	2
155	роль в	1	2
156	как он	1	2
157	но прежде	1	2
158	на его	5	2
159	т д	4	2
160	он не	3	2
161	в виде	3	2
162	и более	1	2
163	из него	1	2
164	людей и	1	2
165	конечно в	1	2
166	зрения на	1	2
167	за ней	1	2
168	далеко не	1	2
169	независимо от	2	2
170	мы видели	2	2
171	быть также	1	2
172	или менее	2	2
173	была поставлена	2	2
174	и другие	1	2
175	в их	4	2
176	которые в	1	2
177	но он	2	2
178	однако в	3	2
179	даже в	3	2
180	в идеологическом	1	2
181	того как	3	2
182	которого он	1	2
183	и внутренней	2	2
184	того чтобы	1	2
185	чем не	1	2
186	в одном	8	2
187	к ней	2	2
188	п в	1	2
189	в области	2	2
190	и другим	1	2
191	слова о	2	2
192	на нем	2	2
193	в себя	2	2
194	так в	4	2
195	в дальнейшем	1	2
196	в другом	4	2
197	те же	1	2
198	особенно в	1	2
199	о нем	1	2
200	и здесь	2	2
201	на него	4	2
202	о том	8	2
203	слово может	1	2
204	нуждается в	1	2
205	в форме	2	2
206	еще более	1	2
207	что он	6	2
208	почти все	1	2
209	всяком случае	2	2
210	именно на	2	2
211	уже в	5	2
212	почти до	1	2
213	на протяжении	4	2
214	для того	1	2
215	то что	2	2
216	до сих	2	2
217	именно в	4	2
218	действующих лиц	4	2
219	которых мы	2	2
220	его как	1	2
221	эти слова	1	2
222	вместе с	2	2
223	и особенно	4	2
224	в данном	1	2
225	если оно	1	2
226	материал для	1	2
227	сих пор	2	2
228	в более	3	2
229	не знаем	1	2
230	или в	2	2
231	в результате	4	2
232	обстоит дело	1	2
233	может и	1	2
234	не знает	1	2
235	к его	1	2
236	все что	2	2
237	они не	1	2
238	и наиболее	1	1
239	как известно	2	1
240	женщины и	1	1
241	речь идет	3	1
242	представителей разных	1	1
243	наших дней	1	1
244	того же	2	1
245	не остается	1	1
246	он может	1	1
247	идет о	3	1
248	между двумя	1	1
249	за собой	1	1
250	из самых	1	1
251	его же	1	1
252	мировоззрения и	1	1
253	случае оно	1	1
254	от которых	1	1
255	и за	1	1
256	а как	1	1
257	со всех	1	1
258	миру и	1	1
259	и о	3	1
260	что уже	1	1
261	время от	4	1
262	место в	3	1
263	высказывания в	1	1
264	и новых	1	1
265	к началу	1	1
266	и заставляет	1	1
267	от времени	1	1
268	в судьбах	1	1
269	проявляется в	1	1
270	таких же	1	1
271	быть в	1	1
272	но конечно	1	1
273	различия между	1	1
274	совсем не	2	1
275	к которой	1	1
276	жанра как	1	1
277	чем же	2	1
278	материалом для	1	1
279	и речевых	1	1
280	все остальные	3	1
281	применении к	1	1
282	целый ряд	1	1
283	и художественного	1	1
284	этой цели	2	1
285	для ее	2	1
286	в самом	2	1
287	в целом	3	1
288	героя однако	1	1
289	он в	1	1
290	только два	1	1
291	сущности и	1	1
292	этом фоне	1	1
293	в этой	7	1
294	другом случае	1	1
295	и те	1	1
296	ее как	1	1
297	о других	1	1
298	на то	3	1
299	что она	1	1
300	больше всего	1	1
301	время и	2	1
302	и только	1	1
303	и еще	3	1
304	сожалению не	1	1
305	и сам	3	1
