N	3gram	Tiupa_Hudo_1	Dialekti
1	и т д	3	19
2	с точки зрения	3	12
3	в том что	6	7
4	ни с какой	1	4
5	то же время	8	4
6	можно было бы	4	4
7	на то что	2	4
8	в то же	8	4
9	как она есть	1	3
10	потому что он	1	3
11	только потому что	2	3
12	более или менее	1	3
13	имеет ничего общего	1	3
14	в этом смысле	1	3
15	в конце концов	1	3
16	и в этом	1	3
17	не может быть	2	3
18	содержит в себе	1	3
19	та или иная	3	3
20	ничего общего с	1	3
21	не имеет ничего	1	3
22	то что я	1	2
23	я никогда не	1	2
24	на самом деле	1	2
25	одной стороны и	1	2
26	до сих пор	2	2
27	и то и	1	2
28	и в то	1	2
29	что он не	2	2
30	в этом отношении	3	2
31	и т п	8	2
32	несмотря на то	1	2
33	то и другое	2	2
34	с одной стороны	1	2
35	несет на себе	2	2
36	во всяком случае	1	2
37	одна и та	1	2
38	ни в чем	1	2
39	по себе а	1	2
40	о том что	9	2
41	к тому что	4	2
42	и та же	1	2
43	а между тем	1	1
44	в чем не	1	1
45	в чистом виде	1	1
46	в самом деле	4	1
47	а не о	1	1
48	так или иначе	2	1
49	мы уже знаем	2	1
50	что же касается	2	1
51	в их живой	1	1
52	самом деле не	1	1
53	до известной степени	1	1
54	нас и т	1	1
55	сами по себе	1	1
56	и быть может	3	1
57	на самом же	1	1
58	только в том	2	1
59	того и другого	1	1
60	он видел как	1	1
61	по преимуществу к	1	1
62	если бы не	1	1
63	не потому что	1	1
64	но в то	3	1
65	в себе момент	2	1
66	было бы дать	1	1
67	в общий контекст	1	1
68	не в том	2	1
69	еще ничего не	1	1
70	в связи с	3	1
71	та же самая	1	1
72	в первую очередь	2	1
73	связи с этим	2	1
74	самом же деле	1	1
75	а в том	1	1
76	с самого начала	1	1
77	между тем в	1	1
78	саму по себе	1	1
79	но все же	1	1
80	не было ни	1	1
81	друг от друга	1	1
82	никогда не бывает	1	1
83	уже знаем что	1	1
84	тем не менее	3	1
85	друг с другом	1	1
86	она не может	1	1
87	на первый взгляд	1	1
88	и о том	2	1
89	то же самое	1	1
90	быть может и	1	1
