N	3gram	Losev_Vlad_2	RusskieA
1	в том что	9	15
2	и т д	1	9
3	вместе с тем	1	6
4	в этом случае	1	5
5	в связи с	8	4
6	о том что	3	4
7	в настоящее время	2	3
8	с точки зрения	3	3
9	тем не менее	6	3
10	что иное как	1	2
11	что в этом	1	2
12	но это не	1	2
13	может быть и	1	2
14	в это время	4	2
15	но тем не	1	2
16	в свою очередь	2	2
17	мы увидим ниже	1	2
18	к выводу что	1	2
19	но все же	1	2
20	с тем и	1	2
21	после того как	2	2
22	по этому поводу	1	2
23	не что иное	1	2
24	во многих случаях	1	2
25	с этим в	1	1
26	хотя и не	2	1
27	сказать что в	2	1
28	и наконец в	1	1
29	точно так же	3	1
30	что для этого	1	1
31	но и по	1	1
32	там же с	10	1
33	можно судить по	4	1
34	наряду с этим	1	1
35	в этом отношении	1	1
36	в собственном смысле	1	1
37	так же в	1	1
38	можно было бы	2	1
39	на этот вопрос	1	1
40	о чем можно	1	1
41	каждый из этих	1	1
42	вот что пишет	2	1
43	и в своем	1	1
44	не только в	2	1
45	в отличие от	3	1
46	приходит к выводу	1	1
47	и как бы	1	1
48	которые можно было	1	1
49	не только как	1	1
50	но вместе с	1	1
51	кроме того в	1	1
52	чем можно судить	1	1
53	во всяком случае	6	1
54	с м соловьев	5	1
55	и в том	1	1
56	с а а	2	1
57	том же месте	1	1
58	в то время	6	1
59	с новым годом	2	1
60	к этому времени	2	1
61	ничего общего с	1	1
62	никак не может	1	1
63	так как это	2	1
64	дошедшим до нас	1	1
65	несмотря на все	2	1
66	можно сказать что	1	1
67	на то что	2	1
68	во второй половине	2	1
69	как мы уже	1	1
70	так и из	1	1
71	только тогда когда	1	1
72	как мы знаем	4	1
73	которую можно назвать	1	1
74	в данном случае	2	1
75	как мы видели	2	1
