N	2gram	Medvedev_U_1	EvropaiC
1	таким образом	2	32
2	в том	2	31
3	и в	14	24
4	том что	2	20
5	не может	7	18
6	то что	7	17
7	все же	3	15
8	может быть	6	15
9	в этом	7	12
10	сих пор	2	12
11	самом деле	2	12
12	до сих	2	12
13	в своем	1	12
14	между тем	2	11
15	все это	5	11
16	так и	1	10
17	все что	1	10
18	как и	3	9
19	на то	1	9
20	друг с	1	9
21	что в	1	9
22	с другом	1	9
23	и все	1	8
24	не в	2	8
25	если бы	2	8
26	в самом	2	8
27	о том	1	7
28	о котором	1	7
29	для этого	3	7
30	по существу	2	7
31	а между	2	7
32	и не	8	7
33	но и	4	7
34	или менее	1	7
35	более или	1	7
36	и что	1	7
37	что он	2	7
38	как на	1	6
39	должна быть	2	6
40	того что	1	6
41	только в	2	6
42	в этой	4	6
43	что и	2	6
44	с другой	4	6
45	все они	2	6
46	мы можем	1	6
47	в которой	1	5
48	в себе	2	5
49	и с	2	5
50	и для	2	5
51	и истории	1	5
52	у него	1	5
53	к этому	1	5
54	в пользу	1	5
55	что при	1	5
56	в то	3	5
57	что все	2	5
58	другой стороны	3	5
59	в его	2	5
60	далеко не	1	5
61	но в	3	5
62	что с	1	5
63	не только	10	5
64	одним из	2	4
65	тех кто	1	4
66	иначе говоря	1	4
67	в виде	1	4
68	хотя бы	5	4
69	в конце	2	4
70	в области	3	4
71	в их	4	4
72	в таком	1	4
73	конце концов	2	4
74	никогда не	1	4
75	то же	5	4
76	из которых	1	4
77	этом случае	1	4
78	состоит из	1	4
79	в течение	1	4
80	должно быть	1	4
81	этой области	3	4
82	и т.д	3	4
83	всех этих	2	4
84	не могут	2	4
85	он не	1	4
86	и то	3	4
87	признать что	1	4
88	и у	2	4
89	не есть	2	4
90	что по	1	3
91	бы в	1	3
92	данном случае	1	3
93	прежде всего	8	3
94	может служить	1	3
95	лучше и	1	3
96	в нем	1	3
97	же не	2	3
98	не то	1	3
99	это не	3	3
100	слагается из	1	3
101	у нас	3	3
102	тот же	1	3
103	то ни	3	3
104	и потому	1	3
105	очевидно что	3	3
106	к которой	1	3
107	ему приходится	1	3
108	но даже	2	3
109	не вполне	1	3
110	же как	1	3
111	с одной	1	3
112	тем более	1	3
113	но по	1	3
114	что только	1	3
115	с тем	1	3
116	так или	1	3
117	и это	1	3
118	конечно не	4	3
119	или иначе	1	3
120	что мы	2	3
121	гораздо больше	1	3
122	в данном	1	3
123	сводится к	2	2
124	широком смысле	1	2
125	но не	2	2
126	же время	3	2
127	мы и	2	2
128	а это	1	2
129	не было	1	2
130	только при	1	2
131	отнюдь не	1	2
132	и так	1	2
133	пришлось бы	3	2
134	то есть	1	2
135	что такой	1	2
136	в ней	1	2
137	по его	1	2
138	одно из	1	2
139	что под	1	2
140	этот процесс	1	2
141	независимо от	1	2
142	это впечатление	1	2
143	и только	5	2
144	что же	1	2
145	все его	1	2
146	а для	1	2
147	для него	3	2
148	что она	2	2
149	о которой	1	2
150	но если	1	2
151	что для	1	2
152	с момента	1	2
153	то и	1	2
154	тогда когда	1	2
155	элементы из	1	2
156	бы то	3	2
157	при таком	2	2
158	одной стороны	1	2
159	на первый	2	2
160	в котором	1	2
161	ни было	3	2
162	в сторону	2	2
163	в процессе	1	2
164	она не	1	2
165	на каждом	2	2
166	при более	1	2
167	в частности	3	2
168	не следует	3	2
169	в которых	1	2
170	было бы	3	2
171	со своими	1	2
172	в виду	1	2
173	существование в	1	2
174	все в	1	2
175	но для	1	2
176	приводит к	1	1
177	в значительной	1	1
178	на его	1	1
179	входит в	1	1
180	существует в	1	1
181	какой именно	1	1
182	бы это	1	1
183	является одним	1	1
184	этого не	1	1
185	на эту	2	1
186	т.д в	1	1
187	в этот	1	1
188	на своем	1	1
189	и этого	1	1
190	крайней мере	2	1
191	отсюда как	1	1
192	друг другу	1	1
193	же остается	1	1
194	или просто	1	1
195	была у	1	1
196	как всякая	1	1
197	строго говоря	1	1
198	бы ни	1	1
199	определяет собою	1	1
200	группы и	1	1
201	более внимательном	1	1
202	мы не	2	1
203	встречается у	1	1
204	имеет свою	1	1
205	и видя	1	1
206	в своей	3	1
207	не ставит	1	1
208	именно такой	1	1
209	себя на	1	1
210	художественное произведение	5	1
211	смысле этого	2	1
212	достаточно ясно	1	1
213	не без	1	1
214	всего что	1	1
215	первый взгляд	1	1
216	такой характер	1	1
217	тем в	1	1
218	сам автор	1	1
219	в широком	2	1
220	быть не	1	1
221	нет и	1	1
222	конечно нет	2	1
223	и даже	1	1
224	впечатление которое	1	1
225	с которыми	1	1
226	а его	2	1
227	произведения в	1	1
228	что этот	1	1
229	самое что	1	1
230	в большей	1	1
231	а как	2	1
232	он может	1	1
233	но он	1	1
234	как элемент	1	1
235	есть ли	1	1
236	ее в	1	1
237	пути вся	1	1
238	именно как	2	1
239	будет не	1	1
240	что такое	4	1
241	данного произведения	1	1
242	мы получаем	2	1
243	но тут	1	1
244	психики и	1	1
245	сказать что	1	1
246	он в	1	1
247	к сожалению	3	1
248	ничего не	2	1
249	тем что	2	1
250	перестает быть	5	1
251	даже и	2	1
252	той же	1	1
253	уже не	1	1
254	что материал	2	1
255	вопроса о	2	1
256	это было	2	1
257	по мнению	1	1
258	из самых	1	1
259	больше чем	1	1
260	встречаются с	1	1
261	по крайней	2	1
262	было когда	1	1
263	могут быть	2	1
264	этот путь	1	1
265	только к	3	1
266	остается в	1	1
267	месте в	1	1
268	точно и	1	1
269	для себя	1	1
270	до конца	1	1
271	общее правило	1	1
272	деле есть	1	1
273	в качестве	1	1
274	их в	1	1
275	именно этот	1	1
276	не случайно	2	1
277	в различных	1	1
278	с его	2	1
279	себе еще	1	1
280	все черты	1	1
281	правда не	1	1
282	только для	1	1
283	с каждым	1	1
284	много но	1	1
285	этого общего	1	1
286	она должна	1	1
287	а не	10	1
288	т.е в	2	1
289	должна была	2	1
290	является только	1	1
291	быть в	1	1
292	для всех	2	1
293	эволюции как	1	1
294	но именно	1	1
295	еще один	1	1
296	работа его	1	1
297	необходимое но	1	1
298	и эта	1	1
299	же самое	2	1
300	не приходится	2	1
301	каждом шагу	2	1
302	он и	1	1
