1	в то же время	3	5
2	но в то же	2	3
3	одной и той же	2	2
4	одного и того же	5	2
5	тем не менее совершенно	1	1
6	с этой точки зрения	1	1
7	кажется само собой разумеющимся	1	1
8	какой бы то ни	1	1
9	как мы уже знаем	1	1
10	может быть и речи	2	1
11	не может быть и	2	1
12	в большей или меньшей	1	1
13	до тех пор пока	2	1
14	отчет в том что	1	1
15	тех пор пока не	1	1
16	до сих пор и	1	1
17	бы то ни было	8	1
18	в связи с этим	3	1
19	на этот вопрос мы	2	1
20	и прежде всего в	1	1
21	смысле этого слова как	1	1
