N	2gram	Bakhtin_Pr_3	Retstnzi
1	не может	19	4
2	и в	34	3
3	в центре	1	2
4	один из	2	2
5	достоевского и	3	2
6	нет и	3	1
7	больше ничего	1	1
8	в особенности	1	1
9	себе все	1	1
10	и не	29	1
11	тому что	2	1
12	не только	10	1
13	ни один	1	1
14	связи с	1	1
15	бы на	1	1
16	событий и	1	1
17	точки зрения	8	1
18	конечно и	1	1
19	но и	12	1
20	и должно	2	1
21	и заставляет	1	1
22	не менее	3	1
23	с другими	4	1
24	тех же	1	1
25	именно с	1	1
26	в ней	3	1
27	может и	1	1
28	на месте	1	1
29	в то	12	1
30	с точки	4	1
31	и на	6	1
32	первая часть	1	1
33	вопрос что	1	1
34	для него	13	1
35	и больше	1	1
36	на нее	2	1
37	виноградова в	1	1
38	бы чисто	1	1
39	к тому	5	1
40	речь и	1	1
41	а не	9	1
42	может быть	19	1
43	вполне понятно	2	1
44	несмотря на	1	1
45	в его	22	1
46	он в	4	1
47	же время	12	1
48	то же	14	1
49	и все	19	1
50	если бы	4	1
51	в каждом	3	1
52	бы в	3	1
