N	3gram	Ircho_Kome_2	DiskursI
1	в том что	5	13
2	по отношению к	3	9
3	с одной стороны	2	9
4	о том что	4	5
5	в отличие от	2	4
6	то же время	3	4
7	к тому же	10	4
8	той или иной	1	3
9	не может быть	1	3
10	в свою очередь	1	3
11	с другой стороны	1	3
12	в то же	3	3
13	мы имеем дело	1	2
14	не говоря уже	2	2
15	в том числе	3	2
16	в соответствии с	1	2
17	в одной из	2	2
18	говоря уже о	2	2
19	в наше время	1	2
20	том числе и	1	2
21	могла бы быть	1	2
22	не только в	1	2
23	по своему происхождению	1	2
24	не более чем	2	2
25	едва ли не	5	2
26	в частности в	2	2
27	более или менее	1	2
28	только в том	1	2
29	ни о чем	1	1
30	том что ни	1	1
31	в этом смысле	2	1
32	все же достаточно	1	1
33	с точки зрения	1	1
34	до сих пор	2	1
35	из них в	1	1
36	том случае если	1	1
37	и в то	1	1
38	что он не	1	1
39	в первую очередь	3	1
40	тех случаях когда	1	1
41	вместе с тем	4	1
42	как правило в	2	1
43	только потому что	2	1
44	как мы видели	1	1
45	таким же образом	1	1
46	и в том	1	1
47	кто из вас	2	1
48	до нас в	1	1
49	как будто бы	1	1
50	почти одновременно с	1	1
51	в том случае	1	1
52	имеем дело с	1	1
53	потому что в	1	1
54	в связи с	3	1
55	во всяком случае	2	1
56	в целом ряде	1	1
57	в тех случаях	1	1
58	а нередко и	1	1
59	она могла бы	1	1
60	того или иного	1	1
61	в этом же	2	1
62	так и в	1	1
63	к этому времени	2	1
64	с самого начала	1	1
65	речь идет о	2	1
66	трагедии и в	1	1
67	в полной мере	1	1
68	тем не менее	1	1
69	но все же	1	1
70	в большинстве случаев	1	1
