N	2gram	Medvedev_U_1	FransuaR
1	и в	14	41
2	то есть	1	20
3	таким образом	2	19
4	в этом	7	15
5	как и	3	14
6	и все	1	14
7	то же	5	13
8	в этой	4	13
9	в его	2	12
10	в себе	2	11
11	в том	2	11
12	прежде всего	8	11
13	так и	1	10
14	в то	3	10
15	все это	5	10
16	в своем	1	9
17	не в	2	9
18	же время	3	9
19	в качестве	1	9
20	но и	4	9
21	что в	1	9
22	но в	3	8
23	в конце	2	8
24	то что	7	8
25	по существу	2	8
26	в нем	1	7
27	и не	8	7
28	о том	1	6
29	только в	2	6
30	это не	3	6
31	для него	3	6
32	у него	1	6
33	все они	2	6
34	не только	10	5
35	того как	1	5
36	и это	1	5
37	в ней	1	5
38	и у	2	5
39	что и	2	5
40	и для	2	5
41	к этому	1	5
42	он не	1	4
43	и с	2	4
44	должно быть	1	4
45	том что	2	4
46	но он	1	4
47	ничего не	2	4
48	в виду	1	4
49	может быть	6	4
50	было бы	3	4
51	конце концов	2	4
52	все что	1	4
53	он может	1	3
54	из самых	1	3
55	той же	1	3
56	он был	1	3
57	но именно	1	3
58	связанные с	1	3
59	в своей	3	3
60	в их	4	3
61	тем что	2	3
62	очень часто	1	3
63	так много	1	3
64	связанных с	1	3
65	и вся	1	3
66	о нем	1	3
67	все его	1	3
68	нас в	2	3
69	что он	2	3
70	не было	1	3
71	не может	7	3
72	и потому	1	3
73	в той	1	3
74	но это	2	3
75	и эта	1	3
76	это в	1	3
77	и то	3	2
78	и так	1	2
79	он знает	1	2
80	мы не	2	2
81	в которой	1	2
82	но по	1	2
83	в которых	1	2
84	с его	2	2
85	в течение	1	2
86	более или	1	2
87	имеем в	1	2
88	они в	1	2
89	что все	2	2
90	это было	2	2
91	далеко не	1	2
92	мы имеем	1	2
93	и разнообразие	1	2
94	все элементы	1	2
95	или менее	1	2
96	их в	1	2
97	в процессе	1	2
98	этом отношении	2	2
99	в области	3	2
100	не есть	2	2
101	правда не	1	2
102	никогда не	1	2
103	начала и	1	2
104	отсюда и	1	2
105	в словах	1	2
106	и т.д	3	2
107	в значительной	1	2
108	бы в	1	2
109	того что	1	2
110	тот же	1	2
111	для всех	2	2
112	уже не	1	2
113	же в	1	2
114	и др	1	2
115	до конца	1	2
116	а не	10	2
117	его как	1	2
118	из которых	1	2
119	без труда	1	2
120	в данном	1	2
121	в отдельности	1	2
122	о котором	1	2
123	ни было	3	2
124	в свое	1	2
125	одним из	2	1
126	человека и	1	1
127	и через	2	1
128	сам по	1	1
129	самом деле	2	1
130	вряд ли	3	1
131	прием и	2	1
132	должна быть	2	1
133	этот и	1	1
134	по его	1	1
135	а как	2	1
136	именно к	1	1
137	бы ни	1	1
138	но даже	2	1
139	заключенных в	1	1
140	первый план	1	1
141	быть в	1	1
142	не без	1	1
143	но не	2	1
144	к которой	1	1
145	за пределы	1	1
146	его на	1	1
147	все же	3	1
148	как таковое	1	1
149	в самом	2	1
150	не приходится	2	1
151	он в	1	1
152	еще один	1	1
153	ее как	1	1
154	теории и	1	1
155	о которой	1	1
156	не как	3	1
157	что еще	1	1
158	материала и	2	1
159	говорить не	1	1
160	форму и	2	1
161	этом смысле	2	1
162	данном случае	1	1
163	еще одно	1	1
164	этого не	1	1
165	с тем	1	1
166	со своими	1	1
167	знакомая нам	2	1
168	на первый	2	1
169	почти не	1	1
170	в котором	1	1
171	уже знакомая	2	1
172	признать что	1	1
173	этой же	1	1
174	что было	1	1
175	доказывает что	1	1
176	речи в	1	1
177	по себе	2	1
178	она не	1	1
179	у кого	1	1
180	и форм	1	1
181	и делает	1	1
182	у нас	3	1
183	не могут	2	1
184	он и	1	1
185	является одним	1	1
186	и свое	1	1
187	от которой	1	1
188	этот путь	1	1
189	в буквальном	2	1
190	именно этот	1	1
191	об этом	1	1
192	в таком	1	1
193	вот почему	7	1
194	тех кто	1	1
195	и что	1	1
196	в различных	1	1
197	несомненно и	1	1
198	все в	1	1
199	переходит в	1	1
200	что только	1	1
201	он уже	1	1
202	между тем	2	1
203	также несомненно	1	1
204	с которыми	1	1
205	в виде	1	1
206	что по	1	1
207	или даже	1	1
208	его и	2	1
209	одно из	1	1
210	даже и	2	1
211	и даже	1	1
212	и прежде	1	1
213	превращается в	2	1
214	в храме	1	1
215	у других	1	1
216	о чем	2	1
217	ссылка на	1	1
218	знает только	1	1
219	и слово	1	1
220	в частности	3	1
221	относятся к	1	1
222	или по	1	1
223	развитие в	1	1
224	и возможностей	1	1
225	и всей	1	1
226	образом на	1	1
227	и формы	3	1
228	еще раз	1	1
229	только для	1	1
230	же самое	2	1
231	это уже	2	1
232	тем более	1	1
233	в системе	2	1
234	в период	1	1
235	сказать что	1	1
236	что под	1	1
237	ее в	1	1
238	как на	1	1
