N	4gram	Losev_Prob_3	Russkaja
1	что бы то ни	1	3
2	во что бы то	1	3
3	бы то ни стало	1	3
4	только для того чтобы	1	1
5	даже и в этом	1	1
6	того что не только	1	1
7	одного и того же	1	1
8	дело в том что	2	1
9	и то и другое	1	1
10	само собой разумеется что	1	1
11	в том виде как	2	1
12	говорить о том что	1	1
13	во всяком случае не	1	1
14	точно так же и	1	1
15	бы то ни было	3	1
16	до сих пор мы	1	1
17	и в этом случае	3	1
18	заключается в том что	2	1
19	вот это и есть	1	1
20	также и то что	4	1
21	том что вся эта	2	1
