N	3gram	Nazirov_Tr_1	Dialekti
1	в том что	2	9
2	не может быть	1	6
3	то же время	5	6
4	в то же	5	6
5	это и есть	1	4
6	и в этом	1	3
7	в чем же	1	2
8	как и все	1	2
9	хотя бы и	1	2
10	сам по себе	1	2
11	точно так же	2	2
12	а стало быть	1	2
13	еще ничего не	1	2
14	но в то	2	2
15	по сравнению с	1	2
16	и в частности	2	2
17	тем не менее	1	2
18	в обоих случаях	1	1
19	хорошо знает и	1	1
20	не только о	1	1
21	у достоевского в	1	1
22	и что же?	1	1
23	и то в	1	1
24	имеет в виду	1	1
25	во веки веков	1	1
26	в той же	1	1
27	в отличие от	2	1
28	и то что	1	1
29	и сорвался с	1	1
30	в данном случае	2	1
31	что уже не	1	1
32	в конце концов	1	1
33	и при этом	1	1
34	и не могли	1	1
35	и как бы	2	1
36	по природе своей	1	1
37	не в силах	2	1
38	в связи с	1	1
39	мы отнюдь не	1	1
40	это должно быть	1	1
41	что я вижу	1	1
42	в этом случае	1	1
43	о том что	2	1
44	и вместе с	1	1
45	не только не	1	1
46	и не может	1	1
47	но все же	2	1
48	в последней главе	1	1
49	после того как	1	1
50	это как бы	1	1
51	может быть в	1	1
52	своей и чужой	1	1
