N	2gram	Medvedev_F_2	Myshleni
1	в развитии	2	28
2	то что	6	26
3	в этом	27	25
4	что он	5	25
5	потому что	2	21
6	таким образом	20	19
7	точки зрения	8	18
8	в том	11	18
9	не может	14	18
10	того чтобы	3	17
11	не только	9	16
12	и в	38	16
13	того что	3	16
14	так как	4	16
15	что в	7	16
16	том что	2	15
17	понятий и	3	15
18	так же	1	15
19	для того	3	14
20	в сущности	4	13
21	в процессе	9	13
22	сказать что	2	13
23	вопрос о	1	12
24	в области	3	12
25	и не	20	12
26	из того	1	11
27	отношение к	2	11
28	в его	10	11
29	но не	2	10
30	было бы	6	10
31	как мы	7	10
32	только в	6	10
33	а не	6	10
34	с помощью	10	10
35	с точки	7	9
36	может быть	23	9
37	то же	6	8
38	должно быть	2	8
39	как и	9	8
40	если бы	5	8
41	тем самым	2	8
42	в основе	5	8
43	о том	1	8
44	он не	6	8
45	точка зрения	1	8
46	как это	2	8
47	мы должны	1	8
48	же как	3	7
49	того же	1	7
50	и есть	1	7
51	в нем	13	7
52	но он	1	7
53	по себе	7	7
54	приводит к	2	7
55	так и	8	7
56	если мы	5	7
57	и на	3	6
58	но в	4	6
59	в этой	6	6
60	как он	1	6
61	связанные с	1	6
62	состоит в	2	6
63	в другом	1	6
64	но если	1	6
65	не в	15	6
66	речи в	1	6
67	для развития	1	6
68	что оно	4	6
69	своего развития	3	6
70	языка и	12	6
71	и следовательно	1	6
72	этот вопрос	2	6
73	в школе	2	6
74	но и	13	6
75	речи и	3	6
76	в той	2	6
77	в какой	3	6
78	к тому	4	6
79	в такой	2	5
80	мере в	1	5
81	должна быть	5	5
82	что они	4	5
83	как в	4	5
84	в своем	1	5
85	в которой	2	5
86	своем развитии	2	5
87	он должен	1	5
88	тому что	2	5
89	с ним	2	5
90	самого начала	2	5
91	в то	5	5
92	никогда не	2	5
93	ничего не	4	5
94	этом отношении	7	5
95	с самого	2	5
96	можно было	1	5
97	можно сказать	1	5
98	тот же	1	5
99	хотя бы	6	5
100	для него	7	5
101	тем что	8	5
102	как бы	4	5
103	с необходимостью	1	5
104	не является	3	5
105	еще более	5	5
106	как известно	1	4
107	и то	2	4
108	той же	1	4
109	что если	1	4
110	а только	2	4
111	не то	3	4
112	за пределы	1	4
113	сама по	1	4
114	в самом	16	4
115	все эти	6	4
116	с их	1	4
117	при этом	9	4
118	и по	2	4
119	мы его	1	4
120	это не	2	4
121	такой же	3	4
122	тому чтобы	2	4
123	и другое	2	4
124	мышления и	1	4
125	не имеет	2	4
126	могут быть	6	4
127	не есть	3	4
128	в пределах	12	4
129	в теории	4	4
130	в качестве	2	4
131	так что	1	4
132	и их	3	4
133	не могут	7	4
134	точек зрения	1	4
135	с другой	3	4
136	именно в	5	4
137	к которому	1	4
138	на этот	1	4
139	зависит от	1	4
140	вместе с	6	4
141	эта теория	1	4
142	в целом	3	4
143	в результате	6	4
144	бы в	5	4
145	потребность в	1	4
146	в системе	1	4
147	в свою	1	4
148	функции в	2	3
149	самом деле	8	3
150	это и	5	3
151	между двумя	2	3
152	в первом	7	3
153	мы не	3	3
154	говорить о	5	3
155	понятия в	2	3
156	но как	2	3
157	если в	3	3
158	оно является	1	3
159	с этим	5	3
160	показать что	1	3
161	все же	8	3
162	сознания в	1	3
163	и как	3	3
164	в действительности	1	3
165	то в	2	3
166	он в	2	3
167	и тот	1	3
168	понятий как	1	3
169	функции и	1	3
170	на этом	2	3
171	как они	4	3
172	самого процесса	1	3
173	и может	3	3
174	влиять на	1	3
175	и тем	2	3
176	с тем	11	3
177	в научном	1	3
178	мы видели	4	3
179	восприятия и	4	3
180	в этих	2	3
181	в их	6	3
182	сих пор	1	3
183	и более	2	3
184	не менее	1	3
185	до конца	2	3
186	что эта	2	3
187	в смысле	1	3
188	но что	1	3
189	идет в	1	3
190	вытекает из	1	3
191	как она	2	3
192	и является	1	3
193	и его	21	3
194	связи с	13	3
195	ничего общего	1	3
196	свою очередь	1	3
197	то как	1	3
198	и с	9	3
199	из основных	1	3
200	вот почему	1	3
201	до сих	1	3
202	в чем	2	3
203	этих двух	2	3
