N	3gram	Tiupa_Hudo_2	UchenyiS
1	в конечном счете	3	4
2	не может быть	3	4
3	с другой стороны	1	3
4	то же время	4	3
5	бы то ни	1	3
6	в то же	4	3
7	а между тем	3	2
8	в самом деле	3	2
9	то же самое	2	2
10	до сих пор	2	2
11	хотя бы и	2	2
12	в этом отношении	1	2
13	в том что	11	2
14	и то что	1	2
15	том что она	2	1
16	все что угодно	1	1
17	как и всякого	1	1
18	так или иначе	1	1
19	все же не	1	1
20	и не случайно	1	1
21	это было бы	1	1
22	как нам представляется	1	1
23	в этом случае	1	1
24	обе эти тенденции	1	1
25	между тем в	1	1
26	никогда и не	1	1
27	и в то	2	1
28	он будет не	1	1
29	же самое что	2	1
30	достоевского и толстого	1	1
31	смысле можно сказать	1	1
32	можно сказать что	1	1
33	то что было	2	1
34	что все они	2	1
35	в данном случае	2	1
36	не только в	2	1
37	тем что он	1	1
38	с одной стороны	3	1
