N	3gram	Propp_Isto_7	Problema
1	и т д	16	13
2	тем не менее	4	10
3	в том что	4	9
4	сама по себе	1	8
5	то же самое	1	7
6	в связи с	1	7
7	в данном случае	3	7
8	в этом случае	1	5
9	с другой стороны	8	5
10	не может быть	3	5
11	т д и	1	4
12	бы то ни	1	4
13	то время как	2	4
14	в то время	2	4
15	можно было бы	1	3
16	точно так же	2	3
17	то ни было	1	3
18	о том что	5	3
19	для нас не	1	3
20	что и в	2	3
21	хотя и не	1	2
22	только потому что	1	2
23	в чистом виде	1	2
24	то это значит	1	2
25	здесь перед нами	1	2
26	никак не может	1	2
27	о том как	1	2
28	так что он	1	2
29	же как и	1	2
30	с точки зрения	1	2
31	до сих пор	2	2
32	в таких случаях	1	2
33	но и в	2	2
34	не только в	5	2
35	не просто как	1	2
36	на первый взгляд	4	2
37	только о том	1	2
38	этой точки зрения	3	2
39	но с другой	1	2
40	это значит что	1	2
41	и тем более	1	2
42	дело не в	3	2
43	как мы видели	1	2
44	таким образом что	1	1
45	и может быть	1	1
46	мы хотели бы	1	1
47	все дело в	1	1
48	а не в	1	1
49	это означает что	1	1
50	очень близок к	1	1
51	более или менее	1	1
52	будет сказать что	1	1
53	уже не в	1	1
54	он не только	1	1
55	таким образом сама	1	1
56	как и другие	2	1
57	ничем не отличается	1	1
58	и то и	1	1
59	что он не	1	1
60	но он не	1	1
61	скажем несколько ниже	1	1
62	но это не	2	1
63	не отличается от	1	1
64	на этот вопрос	2	1
65	и о ней	1	1
66	с этой точки	3	1
67	и не в	1	1
68	то и другое	1	1
69	сказать что в	1	1
70	как и в	2	1
71	в том чтобы	2	1
72	сих пор мы	1	1
73	мы все же	1	1
74	с одной стороны	4	1
75	тоже может быть	1	1
76	это один и	1	1
77	и потому что	1	1
78	во всех этих	6	1
79	самом деле и	1	1
80	не исчезает из	2	1
81	все же не	1	1
82	ответ на этот	1	1
83	далеко еще не	1	1
84	таким образом и	1	1
85	так же как	4	1
86	происходит в мифе	1	1
87	что они не	1	1
88	не обязательна и	1	1
89	в тех случаях	4	1
90	мы не можем	2	1
91	следующим образом когда	1	1
92	нечто отличное от	1	1
93	так и в	2	1
94	в самом деле	1	1
95	ту или иную	1	1
96	только в том	1	1
97	или может быть	1	1
98	именно так как	1	1
99	в этих случаях	10	1
100	тех случаях когда	3	1
101	к тому что	1	1
102	мы можем назвать	1	1
103	тем более не	1	1
104	и все они	1	1
105	то же что	2	1
106	приводит нас к	1	1
107	т д в	2	1
108	то он не	1	1
