N	2gram	Propp_Morf_1	Tvorches
1	и в	13	20
2	и т	41	13
3	не только	4	13
4	т д	39	11
5	как бы	3	11
6	таким образом	21	10
7	в то	3	10
8	в его	1	10
9	и его	1	9
10	там же	1	9
11	же с	1	9
12	и не	12	9
13	при этом	1	8
14	и с	1	8
15	в том	6	8
16	может быть	52	8
17	в этом	14	8
18	прежде всего	9	8
19	но и	4	8
20	то же	7	7
21	это не	6	7
22	наряду с	5	7
23	потому что	3	7
24	не может	14	7
25	что в	8	7
26	в целом	3	6
27	как и	3	6
28	в своей	1	6
29	что он	4	6
30	так и	6	6
31	у него	1	6
32	а не	11	6
33	например в	2	5
34	еще не	3	5
35	и на	1	5
36	но не	4	5
37	все же	7	5
38	в этой	2	5
39	если он	1	5
40	о том	2	5
41	и даже	1	5
42	но это	6	5
43	читателя в	1	5
44	так же	3	5
45	мы не	8	4
46	все эти	2	4
47	что они	2	4
48	как в	3	4
49	хотя и	3	4
50	но в	2	4
51	не в	3	4
52	на его	4	4
53	что она	2	4
54	об этом	4	4
55	если бы	2	4
56	а а	2	4
57	ничего не	4	4
58	в чем	1	4
59	в лице	1	4
60	мы видим	13	4
61	а в	7	4
62	если не	1	4
63	героя в	4	4
64	том что	4	4
65	одним из	1	3
66	на западе	1	3
67	с большим	1	3
68	он сам	1	3
69	а с	2	3
70	по отношению	4	3
71	тогда как	2	3
72	в одной	1	3
73	о жизни	1	3
74	это определение	1	3
75	отношению к	4	3
76	в себе	1	3
77	он не	3	3
78	в образе	4	3
79	так например	3	3
80	а затем	4	3
81	его в	2	3
82	в которых	2	3
83	тем что	4	3
84	одна из	4	3
85	до сих	1	3
86	между тем	5	3
87	е а	2	3
88	этот вопрос	2	3
89	уже не	2	3
90	в начале	3	3
91	для него	1	3
92	у нее	1	3
93	так как	16	3
94	то что	8	3
95	и др	10	3
96	что не	1	3
97	в рассказе	1	3
98	с этой	1	3
99	сих пор	1	3
100	один из	5	3
101	не является	3	3
102	своих героев	1	3
103	одной из	1	3
104	д в	2	3
105	к этому	3	3
106	в таком	1	3
107	таком случае	1	2
108	начинается с	3	2
109	самом деле	4	2
110	и есть	2	2
111	говорить о	3	2
112	в быту	1	2
113	во что	1	2
114	так что	1	2
115	и наконец	1	2
116	имеет в	1	2
117	в этот	1	2
118	но эта	1	2
119	в которой	3	2
120	бы не	1	2
121	во многих	1	2
122	но ведь	1	2
123	быть поняты	1	2
124	и по	2	2
125	при помощи	9	2
126	к героям	1	2
127	такой же	1	2
128	не выдерживает	1	2
129	не столько	1	2
130	точку зрения	1	2
131	их в	1	2
132	что этот	1	2
133	героем и	1	2
134	не менее	5	2
135	на него	3	2
136	в русской	1	2
137	а во	1	2
138	другой стороны	4	2
139	у нас	2	2
140	и далее	1	2
141	могут быть	16	2
142	же не	1	2
143	как по	1	2
144	действия и	1	2
145	приводит к	2	2
146	действующих лиц	11	2
147	и что	2	2
148	что его	2	2
149	всяком случае	2	2
150	а н	1	2
151	д и	1	2
152	с ними	1	2
153	только в	2	2
154	и ее	3	2
155	себя в	1	2
156	и у	1	2
157	в виде	2	2
158	из них	3	2
159	его и	2	2
160	не так	1	2
161	в одном	1	2
162	вовсе не	4	2
163	друг друга	3	2
164	отличие от	1	2
165	с другим	1	2
166	с другой	8	2
167	на этот	1	2
168	не означает	1	2
