N	2gram	Savitsky_E_1	FransuaR
1	и в	37	65
2	то есть	6	45
3	и не	14	22
4	как бы	6	22
5	вовсе не	6	18
6	в том	11	16
7	в этом	12	15
8	но в	14	14
9	в нем	1	13
10	прежде всего	9	11
11	и на	6	11
12	все эти	1	10
13	так и	10	10
14	но и	14	10
15	и его	1	10
16	и потому	5	10
17	том числе	1	10
18	не только	18	10
19	в его	2	9
20	во всех	6	9
21	и другие	1	8
22	и даже	6	8
23	за пределы	1	8
24	в основе	1	8
25	по своему	7	8
26	всех этих	1	8
27	культуры и	2	8
28	в своем	14	8
29	жизни и	2	7
30	числе и	1	7
31	точки зрения	23	7
32	влияние на	2	7
33	в области	11	7
34	только в	9	7
35	в значительной	2	6
36	все же	1	6
37	при этом	1	6
38	главным образом	2	6
39	в отношении	32	6
40	как мы	5	6
41	сказать что	4	6
42	никогда не	3	6
43	одно из	1	6
44	в ней	4	6
45	может быть	6	6
46	так как	7	6
47	том что	6	6
48	в них	3	5
49	как и	7	5
50	рядом с	1	5
51	и все	2	5
52	есть в	2	5
53	связь с	1	5
54	в своей	8	5
55	потому что	3	5
56	в одном	2	5
57	жизни в	3	5
58	для него	1	5
59	в той	5	5
60	еще более	2	5
61	в большей	1	5
62	как в	3	5
63	отличие от	1	5
64	между тем	8	5
65	связана с	1	5
66	с их	1	5
67	в своих	2	5
68	с его	1	5
69	в частности	5	5
70	или иной	4	5
71	меньшей степени	2	5
72	литературы и	1	5
73	той или	4	5
74	для нас	4	4
75	входит в	1	4
76	связи с	1	4
77	выходит за	1	4
78	большей или	1	4
79	в жизни	1	4
80	не в	5	4
81	это в	1	4
82	в их	11	4
83	между ними	2	4
84	культуры в	4	4
85	и к	3	4
86	этой культуры	2	4
87	мира и	3	4
88	или меньшей	1	4
89	и еще	2	4
90	и искусства	1	4
91	начало в	2	4
92	в этой	2	4
93	в самом	4	4
94	в отличие	1	4
95	в общем	3	4
96	из них	3	4
97	и до	1	4
98	в себе	9	3
99	всегда в	1	3
100	и с	2	3
101	в самой	1	3
102	в состоянии	1	3
103	не может	9	3
104	в известной	3	3
105	в более	1	3
106	и их	1	3
107	к нему	2	3
108	и во	2	3
109	и вообще	1	3
110	даже в	4	3
111	в тех	1	3
112	с ним	1	3
113	мира в	4	3
114	но все	1	3
115	мир в	1	3
116	по своей	2	3
117	что в	21	3
118	но как	2	3
119	европейской культуры	3	3
120	не является	3	3
121	то что	6	3
122	и других	2	3
123	с точки	17	3
124	и прежде	3	3
125	своей части	1	3
126	в других	2	3
127	в применении	3	3
128	но на	3	3
129	весь мир	1	3
130	уже не	1	3
131	во всей	2	3
132	этом отношении	3	3
133	не могут	2	3
134	в ее	8	3
135	мы будем	1	3
136	далеко не	2	3
137	нет ничего	1	3
138	с другой	7	3
139	и эта	2	3
140	почти на	1	3
141	применении к	3	3
142	но это	1	3
143	на его	1	2
144	с традициями	1	2
145	в свое	1	2
146	и наконец	2	2
147	его на	2	2
148	можно сказать	4	2
149	и человеческой	2	2
150	или в	2	2
151	одной стороны	8	2
152	значение и	1	2
153	и для	3	2
154	не к	2	2
155	мы здесь	1	2
156	большинстве случаев	3	2
157	кроме того	1	2
158	которого мы	2	2
159	на тех	1	2
160	в большинстве	2	2
161	вполне понятно	1	2
162	бы ни	3	2
163	вопрос мы	1	2
164	степени чем	1	2
165	но с	2	2
166	которое в	2	2
167	между прочим	7	2
168	более того	1	2
169	во второй	3	2
170	начиная с	2	2
171	сущность этого	1	2
172	но не	5	2
173	всего мира	1	2
174	время в	3	2
175	от остального	1	2
176	к жизни	1	2
177	например в	1	2
178	они являются	1	2
179	нам кажется	7	2
180	в чисто	1	2
