N	2gram	Nazirov_Tv_2	Istorich
1	и в	20	24
2	не только	13	21
3	что он	6	21
4	и т	13	17
5	т д	11	16
6	может быть	8	14
7	не может	7	14
8	что в	7	13
9	в этих	1	13
10	как в	4	12
11	в этом	8	12
12	в ином	1	12
13	и здесь	1	12
14	но и	8	11
15	это не	7	10
16	том что	4	10
17	и что	2	10
18	у него	6	10
19	мы видим	4	10
20	а в	4	10
21	все же	5	9
22	с другой	2	9
23	не в	4	9
24	о том	5	9
25	потому что	7	9
26	и другие	1	9
27	то же	7	8
28	еще не	5	8
29	показывает что	4	8
30	что и	1	8
31	так как	3	8
32	другой стороны	2	8
33	а не	6	8
34	все это	6	8
35	во всех	1	7
36	то что	3	7
37	в первую	1	7
38	таким образом	10	7
39	мы видели	1	7
40	одна из	3	7
41	с собой	1	7
42	один из	3	7
43	в том	8	7
44	вместе с	3	7
45	что это	1	6
46	но не	5	6
47	в нем	3	6
48	он не	3	6
49	об этом	4	6
50	как и	6	6
51	для нас	1	6
52	только в	2	6
53	здесь герой	1	6
54	ответ на	1	6
55	тем что	3	6
56	так же	5	6
57	с этой	3	6
58	во время	1	6
59	то это	1	5
60	в чем	4	5
61	с одной	1	5
62	отношение к	1	5
63	но в	4	5
64	что она	4	5
65	не менее	2	5
66	с ним	3	5
67	в русской	2	5
68	ничего не	4	5
69	ином мире	1	5
70	так и	6	5
71	представляют собой	1	5
72	героя и	2	5
73	же как	3	4
74	начинается с	2	4
75	мы уже	1	4
76	мы не	4	4
77	представляет собой	1	4
78	как бы	11	4
79	при этом	8	4
80	в их	3	4
81	своего рода	3	4
82	не имеет	1	4
83	никогда не	11	4
84	со своим	1	4
85	так в	2	4
86	что у	4	4
87	на вопрос	1	4
88	ли он	1	4
89	вовсе не	2	4
90	когда герой	1	4
91	если не	4	4
92	и не	9	4
93	одной из	3	4
94	например в	5	3
95	видеть в	1	3
96	не вполне	1	3
97	и он	2	3
98	в различных	1	3
99	с его	1	3
100	тогда как	3	3
101	тоже не	2	3
102	что они	4	3
103	этой стороны	1	3
104	к себе	1	3
105	хотя и	4	3
106	когда он	4	3
107	и наконец	2	3
108	из этих	1	3
109	в дальнейшем	4	3
110	на то	1	3
111	если он	5	3
112	и если	2	3
113	после этого	1	3
114	том чтобы	1	3
115	и по	2	3
116	а его	1	3
117	его в	3	3
118	в них	1	3
119	которой он	2	3
120	представление о	7	3
121	знаем что	1	3
122	должны были	1	3
123	выше мы	1	3
124	в конце	6	3
125	он дает	1	3
126	нечто вроде	1	3
127	как мы	1	3
128	не все	1	3
129	и его	9	3
130	связи с	1	3
131	не столько	2	3
132	в образе	3	3
133	это происходит	1	3
134	раньше чем	1	3
135	приходит к	1	3
136	не знаю	1	3
137	и она	1	3
138	так что	2	3
139	уже в	2	3
140	на ней	2	3
141	при помощи	2	3
142	не случайно	2	3
143	возможно что	1	3
144	и даже	5	3
145	этой задачи	2	3
146	связано с	1	3
147	превращается в	3	3
148	в свете	3	3
149	предположить что	1	3
150	что за	1	3
151	выше в	1	3
152	сих пор	3	3
153	но это	5	3
154	от него	1	3
155	с ней	1	3
156	почти всегда	1	2
157	кто бы	1	2
158	на глазах	1	2
159	на себя	1	2
160	и ее	2	2
161	власть над	1	2
162	и на	5	2
163	не знал	2	2
164	что его	2	2
165	к королю	1	2
166	к которой	1	2
167	если в	1	2
168	со стороны	1	2
169	не просто	1	2
170	в одной	3	2
171	с этим	1	2
172	стороны и	1	2
173	и нет	1	2
174	перед нами	1	2
175	но эта	2	2
176	в самом	3	2
177	в которой	2	2
178	не видят	1	2
179	все эти	4	2
180	во многих	2	2
