N	2gram	Berdyaev_O_1	Komedia
1	и в	19	26
2	и не	13	14
3	и его	4	12
4	так и	2	12
5	может быть	11	11
6	в том	5	11
7	в этом	12	10
8	но и	13	10
9	том что	2	9
10	если бы	1	9
11	что в	4	9
12	было бы	3	8
13	и на	2	7
14	не только	11	7
15	что и	2	7
16	из них	1	7
17	еще не	3	6
18	в своем	2	6
19	о том	3	6
20	в нем	10	6
21	того чтобы	4	6
22	потому что	9	6
23	и здесь	1	6
24	то что	5	6
25	в которой	2	5
26	с его	4	5
27	что он	3	5
28	так что	2	5
29	в истории	2	5
30	для того	3	5
31	с тем	2	5
32	и с	2	5
33	один из	1	5
34	действующих лиц	1	5
35	к этому	2	5
36	уже в	2	4
37	хотя и	2	4
38	в самом	5	4
39	что это	1	4
40	с их	1	4
41	это было	3	4
42	в них	1	4
43	как и	6	4
44	в этих	3	4
45	не по	1	4
46	как будто	1	4
47	что у	2	4
48	сразу же	2	4
49	можно было	1	4
50	его в	2	4
51	в его	7	4
52	ii в	1	4
53	так как	2	4
54	у него	22	4
55	на этот	1	4
56	что для	2	4
57	прежде всего	9	4
58	мира в	1	4
59	в частности	1	4
60	как это	1	4
61	о его	5	4
62	все же	2	4
63	и для	2	4
64	и от	3	4
65	например в	1	3
66	в котором	1	3
67	вопрос о	10	3
68	в ней	1	3
69	но не	1	3
70	как в	1	3
71	но в	2	3
72	в этой	5	3
73	человека в	11	3
74	в каждом	1	3
75	не имеет	2	3
76	того как	1	3
77	в самой	9	3
78	но там	1	3
79	и сам	1	3
80	к нему	3	3
81	свою тайну	1	3
82	никто не	3	3
83	тем что	2	3
84	не было	9	3
85	о чем	1	3
86	да и	1	3
87	все это	6	3
88	интерес к	1	3
89	а в	5	3
90	в своей	2	3
91	жизни и	1	3
92	не может	4	3
93	и есть	3	2
94	мы не	1	2
95	из самых	1	2
96	не вполне	1	2
97	в виду	1	2
98	и был	1	2
99	в народном	1	2
100	он был	8	2
101	есть для	1	2
102	в ее	2	2
103	человеку и	5	2
104	и я	1	2
105	в одной	1	2
106	самом начале	1	2
107	от этого	1	2
108	за собой	1	2
109	с той	1	2
110	бы и	1	2
111	что она	1	2
112	после этого	1	2
113	он не	7	2
114	в силу	1	2
115	же не	1	2
116	в глазах	1	2
117	это не	3	2
118	в это	1	2
119	чем в	2	2
120	всяком случае	1	2
121	не в	11	2
122	в конце	1	2
123	он выступает	1	2
124	вовсе не	1	2
125	начинает с	1	2
126	одна из	1	2
127	в одном	1	2
128	что их	1	2
129	и после	1	2
130	с другом	1	2
131	и почему	1	2
132	бог и	1	2
133	всего в	2	2
134	от которой	1	2
135	и это	1	2
136	и что	1	2
137	в мире	1	2
138	не приходит	1	2
139	после того	1	2
140	и все	10	2
141	все время	1	2
142	по содержанию	1	2
143	же можно	2	2
144	речь о	1	2
145	с ними	1	2
146	и ее	3	2
147	в уста	2	2
148	одно из	2	2
149	у нее	1	2
150	отношение к	5	2
151	от того	1	2
152	в других	2	2
153	со стороны	1	2
154	и к	2	2
155	чем на	3	2
156	как бы	3	2
157	друг с	1	2
158	бы в	1	2
159	еще более	1	2
160	хотя бы	3	2
161	от всех	1	2
162	к его	1	2
163	в голову	1	2
164	во всяком	1	2
165	отношения к	1	1
166	с кем	1	1
167	о любви	2	1
168	утра до	1	1
169	самом деле	1	1
170	сравнению с	1	1
171	та же	1	1
172	в сущности	1	1
173	раз уже	2	1
174	вместо того	2	1
175	собой в	1	1
176	все эти	4	1
177	что люди	1	1
178	там и	1	1
179	во внешнем	1	1
180	его собственным	1	1
181	было сделать	1	1
182	все внимание	1	1
183	с какими	1	1
184	его творчество	1	1
185	свои силы	1	1
186	и бесконечных	1	1
187	как к	2	1
188	и нет	2	1
189	приносит нам	1	1
190	еще больше	1	1
191	тем же	1	1
192	грани и	4	1
193	человек совершает	1	1
194	жизни в	2	1
195	из жизни	1	1
196	представляет собой	1	1
197	одно время	1	1
198	в себе	3	1
199	не имеют	1	1
200	больше всего	1	1
201	сказать в	1	1
202	видеть в	1	1
203	до самого	5	1
204	никто еще	1	1
205	и более	1	1
206	не могли	2	1
207	в другом	2	1
208	его не	2	1
209	самим собой	1	1
210	целью чтобы	1	1
211	по себе	2	1
212	в жизни	1	1
213	в бытовом	1	1
214	попадает в	1	1
215	их взаимоотношения	1	1
216	он и	1	1
217	ни с	7	1
218	и тогда	1	1
219	над его	1	1
220	народа и	1	1
221	и страх	1	1
222	со всей	1	1
223	его образ	1	1
224	которую он	2	1
225	ни у	2	1
226	и без	1	1
227	же это	2	1
228	из которой	1	1
229	это подтверждается	1	1
230	для многих	1	1
231	права на	1	1
232	всегда является	1	1
233	творчества это	1	1
234	как от	1	1
235	вещей и	1	1
236	любовь к	2	1
237	и очень	2	1
238	на свободу	1	1
239	любви и	1	1
240	с утра	1	1
241	с которой	2	1
242	на два	1	1
243	у кого	2	1
244	его судьба	1	1
245	было у	1	1
246	отношениях к	1	1
247	никогда не	9	1
248	в отношениях	1	1
249	самой жизни	1	1
250	ничего не	2	1
251	в разных	1	1
252	богатого и	1	1
253	показывает нам	1	1
254	до вечера	1	1
255	за судьбу	1	1
256	ее у	1	1
257	и бесконечные	1	1
258	и дал	1	1
259	чтобы сделать	1	1
260	и всех	1	1
261	отличается от	1	1
262	стремлением к	1	1
263	его с	1	1
264	бы он	1	1
265	для его	1	1
266	они и	1	1
267	все еще	2	1
268	с каким	1	1
269	мысль о	2	1
270	том случае	1	1
271	по сравнению	1	1
272	но у	1	1
273	в эпоху	1	1
274	с ним	3	1
275	кого не	1	1
276	его жизни	1	1
277	все его	1	1
278	каждом из	1	1
279	в которую	1	1
280	но нет	1	1
281	нуждается в	1	1
282	когда дело	1	1
283	что же	2	1
284	самого конца	2	1
285	и ни	2	1
286	как например	1	1
287	по своей	1	1
288	человека все	2	1
289	трагедии и	1	1
290	не идет	1	1
291	то он	1	1
292	приходит в	1	1
293	быть сопоставлен	1	1
294	на западе	2	1
295	человека с	1	1
296	больше всех	2	1
297	не все	2	1
298	в сознании	1	1
299	творчестве в	1	1
300	к каким	1	1
301	мир в	1	1
302	не так	1	1
303	для него	5	1
304	много раз	2	1
305	ничего но	1	1
306	его речь	1	1
307	противопоставляет им	1	1
308	нее не	1	1
309	и даже	1	1
310	и из	2	1
311	на примере	1	1
312	человека его	3	1
313	а с	1	1
314	легенде о	3	1
315	что не	4	1
316	него из	1	1
317	говорит о	1	1
318	к человеку	9	1
319	у нас	1	1
320	не делает	1	1
321	до конца	7	1
322	и самый	1	1
323	и завершает	1	1
324	а не	11	1
325	среди них	1	1
326	которой бы	1	1
327	речи и	1	1
328	может привести	1	1
329	связь с	1	1
330	в творчестве	5	1
331	него в	5	1
332	ничего нет	1	1
333	не одно	1	1
334	он говорит	1	1
335	этих словах	1	1
336	любой из	1	1
337	ведет к	1	1
338	в сферу	1	1
339	и там	2	1
340	у самого	1	1
341	то к	2	1
342	быть не	1	1
343	оба они	1	1
344	ближе к	1	1
345	в одно	1	1
346	может служить	1	1
347	от человека	2	1
348	случае если	1	1
349	его творчества	1	1
350	само по	1	1
351	когда он	3	1
352	женщине не	1	1
353	не с	1	1
354	ее и	1	1
355	но о	1	1
356	своих героев	1	1
357	и как	1	1
358	будто бы	1	1
359	силы в	1	1
360	но всегда	1	1
361	человека не	1	1
362	иначе чем	1	1
363	нет ничего	7	1
364	другой его	1	1
365	сказать что	2	1
366	была бы	1	1
367	ко всему	1	1
368	т е	4	1
369	это была	1	1
370	и эта	1	1
371	думать что	1	1
372	все что	3	1
