N	4gram	Losev_Prob_3	VLabPisa
1	уже по одному тому	1	2
2	по одному тому что	1	2
3	может быть и речи	1	1
4	в том или ином	2	1
5	одно и то же	3	1
6	является не чем иным	1	1
7	с этой точки зрения	1	1
8	с теми или иными	1	1
9	на то или иное	1	1
10	то это вовсе не	1	1
11	в том смысле что	3	1
12	не чем иным как	1	1
13	но с другой стороны	2	1
14	имеет ничего общего с	1	1
15	в той или иной	2	1
16	мы в данном случае	1	1
17	ответ на этот вопрос	1	1
18	и может быть даже	1	1
19	том или ином отношении	1	1
20	не имеет ничего общего	3	1
21	той или иной мере	2	1
22	это и значит что	1	1
23	в то время как	4	1
24	не может быть и	1	1
25	это вовсе не значит	1	1
26	так же как и	1	1
27	же в таком случае	1	1
28	вовсе не значит что	1	1
29	чем же в таком	1	1
30	не может быть никакого	1	1
31	уже сама по себе	1	1
