N	2gram	Bakhtin_Pr_1	BTomashe
1	у нас	2	3
2	и не	42	2
3	в ней	4	2
4	можно было	4	2
5	все это	3	2
6	говорить о	3	1
7	с другой	7	1
8	не все	2	1
9	вопрос о	1	1
10	является только	1	1
11	совершенно не	7	1
12	по теории	1	1
13	в своей	7	1
14	художественного произведения	11	1
15	между ними	4	1
16	и о	5	1
17	в области	11	1
18	эстетикой словесного	1	1
19	является изучение	1	1
20	до конца	1	1
21	и ее	2	1
22	о художественном	2	1
23	поэтике если	1	1
24	на которой	1	1
25	не вполне	2	1
26	и в	38	1
27	так и	5	1
28	художественном произведении	5	1
29	за пределы	12	1
30	формализма и	1	1
31	не о	1	1
32	представляется нам	2	1
33	что все	2	1
34	не было	2	1
35	и во	2	1
36	должна быть	4	1
37	почти совершенно	3	1
38	кроме того	3	1
39	было бы	8	1
40	отнюдь не	19	1
41	одной из	3	1
42	в научном	1	1
43	далеко не	5	1
44	бы только	1	1
45	и потому	4	1
46	в пределах	6	1
47	в значительной	2	1
48	словесного творчества	2	1
49	говорить об	1	1
50	чем на	1	1
51	и исторической	1	1
52	все же	6	1
53	по поэтике	6	1
54	его не	2	1
55	выходит за	1	1
56	как таковому	1	1
57	и более	2	1
58	прежде всего	13	1
59	моментом в	3	1
60	быть эстетикой	1	1
61	творчества и	5	1
62	значение слова	4	1
63	что в	7	1
64	таким образом	10	1
65	а о	1	1
66	еще не	7	1
67	теорию литературы	1	1
68	не только	9	1
69	в данном	4	1
70	не следует	2	1
71	и на	3	1
72	на самом	4	1
73	другой стороны	4	1
74	значительной степени	1	1
75	а не	5	1
