N	2gram	Medvedev_I_1	Mirosoze
1	и в	1	46
2	в этом	2	20
3	и не	2	18
4	для него	1	18
5	никогда не	1	18
6	он не	2	10
7	жизни и	1	6
8	того что	1	6
9	для того	1	5
10	я не	1	5
11	самого себя	2	4
12	так и	1	4
13	что в	2	4
14	того чтобы	1	4
15	должен быть	2	4
16	себя в	1	4
17	и с	3	3
18	не так	1	3
19	тем что	1	3
20	если бы	1	3
21	в них	1	3
22	стали бы	1	3
23	самого достоевского	1	3
24	бы в	1	2
25	от этого	1	2
26	отношению к	1	2
27	и тот	1	2
28	а в	1	2
29	но когда	1	2
30	а для	1	2
31	было не	1	2
32	более чем	1	2
33	по отношению	1	2
34	из подполья	1	2
35	ничего не	2	2
36	в основе	1	2
37	и та	1	2
38	у всех	1	2
39	достоевского а	2	2
40	бы его	1	2
41	не случайно	1	2
42	все эти	1	1
43	в федоре	1	1
44	в значительной	1	1
45	достоевского с	1	1
46	это был	1	1
47	говорить о	1	1
48	того же	1	1
49	ибо и	1	1
50	не дает	1	1
51	как отец	1	1
52	и чрезвычайно	1	1
53	при такой	1	1
54	и без	1	1
55	видит в	1	1
56	свою жену	1	1
57	к нам	1	1
58	смердякова и	1	1
59	это сам	1	1
60	о достоевском	2	1
61	только что	1	1
62	федор павлович	1	1
63	к отцу	1	1
64	стало быть	1	1
65	остается как	1	1
66	в целом	1	1
67	он с	1	1
68	и наказания	1	1
69	за границей	1	1
70	его личности	1	1
71	по поводу	1	1
72	братья карамазовы	1	1
73	записок из	2	1
74	достоевского она	1	1
75	и сам	1	1
76	с другой	1	1
77	со всеми	1	1
78	а также	1	1
79	все это	1	1
80	преступления и	1	1
81	теперь я	1	1
82	а с	1	1
83	как о	1	1
