N	2gram	Vinokur_St_3	PoTuStor
1	может быть	19	17
2	и в	25	16
3	и пр	13	12
4	в этом	24	9
5	таким образом	10	9
6	и только	2	9
7	прежде всего	10	9
8	и с	4	8
9	точки зрения	7	8
10	и его	3	8
11	не может	7	8
12	с его	3	7
13	не только	12	7
14	сказать что	4	7
15	я и	3	6
16	самом деле	2	6
17	конечно не	1	6
18	с точки	4	6
19	и это	5	6
20	для него	3	6
21	и к	4	6
22	еще не	2	5
23	в чем	4	5
24	отношение к	4	5
25	все эти	3	5
26	что такое	7	5
27	ни в	5	5
28	как бы	6	5
29	на самом	1	4
30	и ее	2	4
31	и на	6	4
32	и наконец	3	4
33	но в	5	4
34	в этой	14	4
35	в нем	1	4
36	и может	2	4
37	его в	1	4
38	художественного творчества	1	4
39	все это	8	4
40	самого начала	2	4
41	как мы	2	4
42	с ее	2	4
43	с самого	2	4
44	так и	5	4
45	можно сказать	4	4
46	в его	12	4
47	а потому	2	4
48	только в	6	4
49	для всех	1	4
50	и их	1	4
51	так как	3	4
52	но и	9	4
53	и не	10	4
54	и все	1	4
55	хотя бы	1	4
56	все что	1	4
57	отношения к	1	3
58	тех же	1	3
59	во всех	2	3
60	в общем	4	3
61	и как	1	3
62	и художественного	1	3
63	на этом	3	3
64	на этой	1	3
65	этом смысле	4	3
66	том что	15	3
67	во время	3	3
68	сих пор	2	3
69	в одном	1	3
70	по крайней	4	3
71	до сих	2	3
72	и оно	1	3
73	те же	1	3
74	на язык	3	3
75	крайней мере	4	3
76	и она	1	3
77	в том	20	3
78	мы знаем	1	3
79	всяком случае	4	3
80	в области	6	3
81	и др	4	3
82	вместе с	2	3
83	быть это	3	3
84	могут быть	2	3
85	что в	19	3
86	в этих	11	3
87	а в	6	3
88	то что	12	3
89	жизни и	1	3
90	во всяком	4	3
91	ту же	1	2
92	в самом	2	2
93	и этот	1	2
94	мы не	2	2
95	и о	1	2
96	говорить о	3	2
97	что можно	1	2
98	того же	2	2
99	и говорить	1	2
100	между собой	1	2
101	из этих	6	2
102	но как	2	2
103	нет и	2	2
104	за пределы	1	2
105	с этим	7	2
106	что это	16	2
107	он не	5	2
108	и по	2	2
109	то же	5	2
110	связанные с	1	2
111	на протяжении	4	2
112	было бы	7	2
113	в жизни	4	2
114	в них	5	2
115	как и	4	2
116	между собою	2	2
117	в своей	4	2
118	почти не	1	2
119	этих трех	2	2
120	не менее	2	2
121	никогда не	2	2
122	всей жизни	1	2
123	здесь же	1	2
124	в каком	4	2
125	все то	1	2
126	т.е в	1	2
127	он ищет	1	2
128	на основе	2	2
129	и этим	1	2
130	в пределах	1	2
131	как с	1	2
132	по аналогии	1	2
133	для этого	2	2
134	и вообще	1	2
135	с ним	1	2
136	находится в	1	2
137	о том	8	2
138	для нас	1	2
139	что и	1	2
140	во всей	1	2
141	один из	2	2
142	мы видим	4	2
143	что он	19	2
