N	2gram	Tiupa_Lite_3	formyVre
1	и в	16	50
2	то есть	5	33
3	в романе	3	32
4	в этом	14	25
5	в нем	2	24
6	человека в	2	17
7	и его	6	16
8	в литературе	1	16
9	прежде всего	3	15
10	как мы	2	14
11	и не	22	14
12	в его	6	13
13	вовсе не	1	13
14	как раз	2	13
15	по существу	4	12
16	так и	9	12
17	то же	9	11
18	мы уже	1	11
19	может быть	12	11
20	и как	3	10
21	но в	3	10
22	времени и	1	10
23	с его	6	9
24	не только	14	9
25	в то	9	9
26	же время	7	9
27	в том	12	9
28	в конце	2	9
29	и т	1	8
30	того же	2	8
31	и на	2	8
32	в самом	3	8
33	жизненный путь	2	8
34	т п	1	8
35	жизни в	4	8
36	но и	14	8
37	и их	1	8
38	как и	5	8
39	жизни и	3	8
40	так сказать	1	7
41	для себя	2	7
42	времени в	1	7
43	не было	1	7
44	героя и	1	7
45	вдруг и	1	6
46	например в	3	6
47	между двумя	1	6
48	время в	2	6
49	во всех	2	6
50	как в	5	6
51	с этим	1	6
52	все же	2	6
53	не оставляет	1	6
54	лишь в	5	6
55	это не	5	6
56	и того	1	6
57	в их	1	6
58	так как	1	6
59	с ее	3	6
60	в ее	5	6
61	связи с	2	6
62	в жизни	8	6
63	у него	1	6
64	то что	12	6
65	в частности	11	6
66	не может	8	6
67	так же	2	6
68	и все	1	6
69	отношению к	4	5
70	и до	1	5
71	еще не	6	5
72	но не	4	5
73	этого типа	1	5
74	отнюдь не	3	5
75	и у	1	5
76	не в	10	5
77	он не	1	5
78	значение в	1	5
79	жизни но	1	5
80	в основе	5	5
81	того чтобы	2	5
82	точки зрения	7	5
83	если бы	2	5
84	для того	2	5
85	в связи	1	5
86	что в	2	5
87	и то	1	4
88	мы и	2	4
89	в ней	1	4
90	в своем	1	4
91	конечно не	1	4
92	раз в	2	4
93	и с	2	4
94	в них	1	4
95	том что	8	4
96	в котором	1	4
97	в процессе	1	4
98	не имеет	1	4
99	потому что	3	4
100	к себе	8	4
101	здесь не	2	4
102	жизнь и	1	4
103	только в	7	4
104	и т.п	6	4
105	влияние на	1	4
106	до конца	4	4
107	на этой	1	4
108	нет ничего	1	4
109	в присутствии	2	4
110	в той	1	4
111	своей жизни	2	4
112	все это	1	4
113	и для	4	4
114	себе самому	3	4
115	том числе	3	4
116	отношения к	3	3
117	по преимуществу	1	3
118	в какой-то	1	3
119	есть не	1	3
120	в виду	1	3
121	по отношению	4	3
122	себе и	1	3
123	к концу	1	3
124	хотя и	4	3
125	в себе	6	3
126	вследствие этого	2	3
127	в определенном	1	3
128	при этом	15	3
129	вовне в	1	3
130	она становится	1	3
131	вообще не	1	3
132	его в	2	3
133	входит в	4	3
134	и других	1	3
135	с другими	1	3
136	здесь нет	1	3
137	место и	1	3
138	и уже	1	3
139	и вне	1	3
140	в этих	1	3
141	в отношении	1	3
142	самого человека	1	3
143	что было	1	3
144	друг друга	1	3
145	жизни не	2	3
146	этом отношении	5	3
147	к тому	6	3
148	самим собою	1	3
149	нас в	1	3
150	что и	2	3
151	во всей	2	3
152	один из	2	3
153	романа и	2	3
154	одной из	1	3
155	и ее	2	3
156	с одной	4	3
157	со всеми	2	3
158	в качестве	5	3
159	только на	1	3
160	здесь это	2	3
161	же в	2	3
162	в начале	4	3
163	был бы	1	3
164	одно из	4	3
165	в одном	4	3
166	именно в	5	3
167	себя и	2	3
168	что не	2	3
169	более того	3	3
170	с тем	1	3
171	быть только	2	3
172	а не	12	3
173	мира в	3	3
174	на фоне	1	3
175	вместе с	5	3
176	и потому	2	3
177	еще более	1	3
178	ни к	3	3
179	а в	5	3
180	не знает	2	3
181	сказать что	1	3
182	они не	1	3
183	к этому	2	3
184	в таком	1	3
185	тех же	1	2
186	и принципиально	1	2
187	той же	3	2
188	жизни по	1	2
189	вопрос о	2	2
190	принадлежит к	1	2
191	на себя	2	2
192	момент в	1	2
193	в чем	1	2
194	нет и	1	2
195	определяется не	1	2
196	в истории	1	2
197	в центре	1	2
198	для всех	1	2
199	стороны и	2	2
200	встречи с	1	2
201	сюжетного движения	1	2
202	и к	3	2
203	в этот	1	2
204	в целом	5	2
205	тому же	5	2
206	в нашем	1	2
207	как бы	8	2
208	как он	1	2
209	и еще	1	2
210	не как	2	2
211	уже не	3	2
212	самим собой	3	2
213	было бы	2	2
214	нет в	1	2
215	все моменты	1	2
216	чем в	1	2
217	автора и	2	2
218	для него	2	2
219	в своей	7	2
220	с точки	3	2
221	место в	4	2
222	не к	1	2
223	в отличие	5	2
224	но он	1	2
225	друг другу	1	2
226	по себе	2	2
227	два образа	1	2
228	тогда когда	1	2
229	никогда не	4	2
230	и является	1	2
231	во всем	1	2
232	всей жизни	1	2
233	мире и	1	2
234	определенном месте	1	2
235	этот образ	1	2
236	не столь	1	2
237	есть только	1	2
238	числе и	2	2
239	той или	2	2
240	оно не	2	2
241	правда не	1	2
242	но по	1	2
243	природе своей	1	2
244	здесь как	2	2
245	можно только	1	2
246	или иной	2	2
247	а также	4	2
248	в значительной	1	2
249	и были	1	2
250	во втором	2	2
251	там где	3	2
252	не зная	1	2
253	того что	9	2
254	разного рода	1	2
255	явления в	1	2
256	в стороне	1	2
257	романа к	1	2
258	есть в	1	2
259	уже в	1	2
260	ни с	2	2
261	в помине	1	2
262	исторического процесса	1	2
263	отношение к	2	2
264	отличие от	5	2
265	тем что	2	2
266	лишь один	1	2
267	не были	1	2
268	и даже	2	2
269	даже не	1	2
270	с другой	6	2
271	и тех	1	2
272	я был	1	2
273	далеко не	2	2
274	еще и	2	2
275	одних и	1	2
276	соответствии с	5	2
277	в соответствии	3	2
278	одной стороны	4	2
279	их к	1	2
280	к своему	1	2
281	в данном	4	2
282	к жизни	2	2
283	слова и	1	2
284	совершается между	1	2
285	человек и	1	2
286	для нас	1	2
287	лишь как	1	2
288	у них	1	2
289	времени все	1	2
290	хотя бы	1	2
291	она же	1	2
292	ее в	2	2
293	была бы	1	2
294	совершенно не	3	2
295	в свою	2	2
296	на один	1	2
297	всем и	1	1
298	и наиболее	1	1
299	я и	10	1
300	жизни где	1	1
301	разных времен	1	1
302	одним из	4	1
303	начинается с	1	1
304	идет о	1	1
305	и есть	1	1
306	из самых	1	1
307	его же	1	1
308	и за	1	1
309	по его	1	1
310	всей ее	1	1
311	для своего	2	1
312	бы в	1	1
313	и совсем	1	1
314	бы и	3	1
315	само слово	1	1
