N	2gram	Bakhtin_sl_1	Analitik
1	в этом	12	18
2	не только	16	16
3	и в	41	16
4	в частности	2	16
5	так и	11	15
6	как и	4	14
7	но и	16	12
8	и не	16	12
9	том что	2	12
10	в том	3	12
11	в качестве	3	11
12	при этом	6	10
13	могут быть	19	10
14	а не	15	10
15	как бы	12	10
16	в этой	1	9
17	лишь в	4	9
18	ничего не	4	9
19	в пределах	14	9
20	и даже	6	9
21	то есть	26	9
22	в целом	2	8
23	в данном	3	8
24	максим максимыч	1	8
25	особенно в	1	7
26	к тому	3	7
27	в сочетании	2	7
28	а также	2	7
29	о том	3	7
30	в себе	3	7
31	в самом	5	6
32	и на	14	6
33	но в	8	6
34	может быть	14	6
35	с другой	5	6
36	в сторону	1	5
37	и к	5	5
38	произведения в	1	5
39	данном случае	3	5
40	с одной	4	5
41	в контексте	2	5
42	того же	6	4
43	по преимуществу	4	4
44	в сущности	13	4
45	столь же	2	4
46	но не	2	4
47	за пределы	4	4
48	как в	8	4
49	в своем	3	4
50	хотя и	2	4
51	в себя	1	4
52	он в	5	4
53	внутренней речи	3	4
54	нашего времени	1	4
55	на этом	2	4
56	то же	14	4
57	не с	2	4
58	и тем	2	4
59	для него	3	4
60	точки зрения	16	4
61	не в	7	4
62	только не	1	4
63	не менее	1	4
64	можно сказать	2	4
65	в новелле	1	4
66	во всех	17	4
67	композиционная форма	2	4
68	только в	6	4
69	и его	14	4
70	уже не	2	4
71	в сознании	2	4
72	у него	3	4
73	как раз	2	4
74	одной стороны	4	4
75	не может	14	4
76	этом случае	2	4
77	все это	5	4
78	в один	1	4
79	и то	2	3
80	в их	4	3
81	мы имеем	1	3
82	высказывания в	1	3
83	не был	1	3
84	на его	8	3
85	и если	1	3
86	и сам	3	3
87	несмотря на	1	3
88	автора и	4	3
89	в эту	2	3
90	место в	1	3
91	не столько	1	3
92	на фоне	7	3
93	тем не	1	3
94	по крайней	1	3
95	случае в	1	3
96	на себе	1	3
97	никогда не	3	3
98	со своим	5	3
99	сводится к	1	3
100	этом отношении	1	3
101	ни о	2	3
102	той или	9	3
103	как мы	8	3
104	приводит к	1	3
105	можно было	2	3
106	в результате	3	3
107	если бы	1	3
108	одного из	2	3
109	того или	2	3
110	борьба с	1	3
111	что и	1	3
112	крайней мере	1	3
113	и все	4	3
114	одной из	3	3
115	с ними	3	3
116	так что	2	3
117	есть в	1	3
118	из них	3	3
119	только на	2	3
120	со стороны	1	3
121	или иной	9	3
122	именно в	3	3
123	было бы	3	3
124	литературное произведение	1	3
125	или иного	2	3
126	этого слова	1	3
127	или в	8	3
