N	3gram	Bakhtin_Fr_2	Otkroven
1	для того чтобы	1	3
2	и в самой	1	2
3	не может быть	4	2
4	но и в	4	2
5	не могут быть	1	2
6	в другом месте	2	1
7	по сравнению с	2	1
8	в строгом смысле	1	1
9	в эпоху возрождения	2	1
10	в самой жизни	1	1
11	потому что в	1	1
12	прежде всего в	1	1
13	я имею в	1	1
14	ни с кем	1	1
15	его творчества но	2	1
16	и не может	1	1
17	имею в виду	1	1
18	во всяком случае	2	1
19	над человеческой природой	1	1
20	даже и в	1	1
21	после того как	1	1
22	о том что	3	1
23	в этом отношении	3	1
24	то что в	1	1
25	и все это	1	1
26	о человеке которая	1	1
27	но и там	1	1
28	и прежде всего	1	1
29	в том что	1	1
30	на то что	1	1
31	в этой отрицательной	1	1
32	друг с другом	1	1
33	как и в	1	1
34	и в ее	1	1
