N	3gram	Propp_Isto_4	Hudozhes
1	с другой стороны	4	5
2	одно и то	1	3
3	и то же	1	3
4	тем не менее	2	3
5	можно сказать что	1	3
6	но он не	1	2
7	в основе своей	1	2
8	не могло быть	1	2
9	в том числе	1	2
10	к тому что	1	2
11	и в форме	1	2
12	том отношении что	1	1
13	что иное как	3	1
14	мы видим в	1	1
15	а в его	1	1
16	в виду не	1	1
17	подобно тому как	1	1
18	в этом случае	3	1
19	в зависимости от	1	1
20	в таких случаях	2	1
21	в иных случаях	1	1
22	что он не	1	1
23	точно так же	5	1
24	и др в	1	1
25	может быть и	1	1
26	тогда как в	1	1
27	об этом так	1	1
28	содержит в себе	2	1
29	таким образом и	1	1
30	по большей части	1	1
31	не могут быть	1	1
32	это своего рода	1	1
33	в связи с	2	1
34	а в другом	1	1
35	в том отношении	1	1
36	так же как	12	1
37	ни к каким	1	1
38	в чем состоит	1	1
39	в то время	1	1
40	есть не что	1	1
41	не говорит что	1	1
42	в одном случае	3	1
43	это и есть	1	1
44	о том что	2	1
45	и тем самым	1	1
46	мы имеем в	2	1
47	в этих случаях	7	1
48	не что иное	3	1
49	то что они	1	1
50	не может быть	4	1
51	как и в	1	1
52	при всей своей	1	1
