N	3gram	Losev_Vlad_2	DiskursI
1	в отличие от	3	12
2	в данном случае	2	6
3	в том что	9	6
4	то же время	3	5
5	в этом отношении	1	4
6	в то же	3	4
7	не может быть	1	3
8	и все же	2	3
9	о том что	3	3
10	в этом случае	1	2
11	что же касается	5	2
12	с точки зрения	3	2
13	в первую очередь	1	2
14	и то что	5	2
15	содержит в себе	4	2
16	и как бы	1	2
17	дело в том	3	2
18	в свое время	1	2
19	и прежде всего	1	2
20	при этом в	1	2
21	потому что в	1	1
22	прежде всего на	1	1
23	в самом деле	1	1
24	заключающие в себе	1	1
25	можно утверждать что	1	1
26	и в то	1	1
27	до известной степени	1	1
28	бы то ни	1	1
29	приходит к выводу	1	1
30	только то что	1	1
31	то что в	1	1
32	или по крайней	2	1
33	но это не	1	1
34	в этот период	1	1
35	со своего рода	1	1
36	к одному из	1	1
37	и в частности	1	1
38	в это время	4	1
39	в году как	1	1
40	говоря уже о	2	1
41	а также и	1	1
42	не в том	3	1
43	с теми же	1	1
44	во всяком случае	6	1
45	из той же	1	1
46	данном случае мы	1	1
47	в споре с	1	1
48	равно как и	1	1
49	с самого начала	1	1
50	можно сказать что	1	1
51	же касается самого	1	1
52	в том числе	1	1
53	тем не менее	6	1
54	здесь как и	1	1
55	по крайней мере	4	1
56	а также от	1	1
57	не говоря уже	2	1
