N	3gram	Nazirov_Tv_2	Problema
1	по отношению к	3	19
2	и т п	2	13
3	не может быть	3	11
4	но отнюдь не	1	7
5	в отличие от	2	5
6	в высшей степени	1	5
7	и прежде всего	1	5
8	с другой стороны	2	4
9	в конечном счете	1	4
10	в самом деле	2	3
11	можно было бы	1	3
12	в применении к	1	3
13	то же время	7	3
14	в том что	2	3
15	в то же	7	3
16	в чем не	1	2
17	как и для	1	2
18	в том же	2	2
19	со всех сторон	1	2
20	ни в чем	1	2
21	человеческой культуры и	1	2
22	и не может	2	2
23	то или иное	1	2
24	и в то	2	2
25	то есть его	1	2
26	не могут быть	1	2
27	могут быть поняты	2	2
28	того или иного	1	2
29	может и не	1	2
30	так и в	2	2
31	той или иной	1	2
32	хотя и не	1	1
33	рядом с ними	1	1
34	в виду что	1	1
35	в свою очередь	1	1
36	так например в	1	1
37	может быть определен	1	1
38	о том как	1	1
39	в нем и	1	1
40	рядом с ним	1	1
41	до сих пор	3	1
42	сами по себе	1	1
43	в известной мере	2	1
44	художественного произведения как	1	1
45	но в то	1	1
46	не о том	1	1
47	вырождается и умирает	1	1
48	его а не	1	1
49	и должно быть	1	1
50	и в этом	1	1
51	в связи с	1	1
52	может быть понята	1	1
53	например в романе	1	1
54	в том смысле	1	1
55	в творчестве достоевского	4	1
56	социальной и исторической	1	1
57	и в том	1	1
58	по себе не	1	1
59	характера и не	1	1
60	в нем нет	1	1
61	том смысле что	1	1
62	в то время	1	1
63	это и есть	1	1
64	и т д	11	1
65	и отнюдь не	1	1
66	то что не	1	1
67	его место в	1	1
68	отметим лишь что	1	1
69	тесно связан с	1	1
70	в его работе	1	1
71	и между ними	1	1
72	что у нас	1	1
73	как и в	1	1
74	на этот вопрос	2	1
75	дело в том	1	1
76	и в другом	1	1
