N	3gram	Nazirov_Tv_1	Poddanst
1	в то же	13	7
2	то же время	12	7
3	в отношении к	1	5
4	не только в	2	4
5	в том что	6	4
6	сами по себе	1	3
7	с одной стороны	1	3
8	и как раз	1	2
9	и в то	2	2
10	заключает в себе	1	2
11	заключается в том	1	2
12	том что в	2	1
13	чуть ли не	1	1
14	гоголь и достоевский	1	1
15	в настоящее время	1	1
16	гоголя и достоевского	1	1
17	хотя бы и	1	1
18	в отличие от	1	1
19	за то что	1	1
20	вместе с тем	1	1
21	все это в	1	1
22	в xix веке	1	1
23	в творчестве достоевского	4	1
24	с другой стороны	1	1
25	но в то	4	1
26	то что его	1	1
27	в известном смысле	1	1
28	к единению с	1	1
29	в отрыве от	1	1
30	на наш взгляд	1	1
31	и т д	1	1
