N	2gram	Medvedev_V_1	Problema
1	и не	1	28
2	только в	1	23
3	и в	2	20
4	в том	2	20
5	потому что	1	15
6	том что	2	12
7	и его	1	10
8	в этом	1	9
9	все это	1	9
10	то же	1	7
11	ясно что	1	7
12	хотя бы	1	7
13	именно в	1	7
14	а только	1	6
15	по крайней	1	6
16	крайней мере	1	6
17	но это	1	6
18	да и	1	5
19	так как	1	5
20	и только	1	4
21	тем более	1	4
22	самом деле	1	3
23	в другом	1	3
24	и то	1	2
25	столь же	1	2
26	совершенно ясно	1	2
27	для них	1	2
28	далеко не	1	2
29	не будем	1	2
30	дело в	1	2
31	в значительной	1	2
32	ни к	1	2
33	в конце	2	2
34	не хотел	1	2
35	в самом	1	2
36	как же	1	2
37	все время	1	2
38	другое дело	1	2
39	в частности	1	2
40	говоря о	1	1
41	теории литературы	1	1
42	время в	1	1
43	их тем	1	1
44	чем больше	1	1
45	одно и	1	1
46	в их	1	1
47	том же	1	1
48	и почти	1	1
49	одном и	1	1
50	по своим	1	1
51	же все	1	1
52	отношений но	1	1
53	ведь это	1	1
54	на одном	1	1
55	и том	1	1
56	под влиянием	1	1
57	разве это	1	1
58	конце концов	2	1
59	по поводу	1	1
60	гораздо более	1	1
