N	3gram	Kanaev_Sov_1	RusskieA
1	в том что	1	18
2	в этом случае	1	6
3	в данном случае	1	6
4	так же как	1	4
5	мы видели что	3	4
6	в отличие от	2	3
7	не может быть	4	3
8	тем не менее	2	2
9	что иное как	1	2
10	может быть только	1	2
11	не что иное	1	2
12	мы не можем	6	2
13	с одной стороны	1	2
14	на другой день	1	2
15	ничего общего не	1	1
16	не может не	3	1
17	в заключение нужно	1	1
18	в настоящее время	2	1
19	а может быть	1	1
20	по аналогии с	1	1
21	xix в и	1	1
22	можно было бы	1	1
23	все же в	1	1
24	одна из них	1	1
25	может быть и	2	1
26	в предыдущей главе	1	1
27	переносились в область	1	1
28	что она может	1	1
29	во всяком случае	2	1
30	и в этом	1	1
31	в западной европе	1	1
32	всяком случае не	1	1
33	в такой же	1	1
34	дело в том	1	1
35	все это пока	1	1
36	в свою очередь	2	1
37	не имеет с	1	1
38	у нас на	1	1
39	поэтому мы не	2	1
40	мы уже знаем	1	1
41	по его мнению	1	1
42	общего не имеет	1	1
