N	4gram	Bakhtin_fo_1	Vvedenie
1	в то же время	6	6
2	с одной стороны и	2	3
3	но в то же	1	3
4	дело в том что	2	2
5	как мы уже знаем	1	2
6	вообще не может быть	1	1
7	целого но все же	1	1
8	в той или иной	1	1
9	одного и того же	5	1
10	мы имеем в виду	1	1
11	одно и то же	3	1
12	и прежде всего в	1	1
13	в связи с этим	2	1
14	не может быть и	1	1
15	в соответствии с этим	2	1
16	но вместе с тем	1	1
17	и для того чтобы	1	1
18	дело не только в	1	1
19	но дело не только	1	1
20	той или иной степени	1	1
21	для того чтобы быть	1	1
22	приходит к выводу что	1	1
23	может быть и речи	1	1
24	одном и том же	1	1
25	когда мы говорим о	1	1
26	в одном и том	1	1
