N	2gram	Tiupa_Narr_1	VelikijI
1	и не	23	20
2	и в	11	16
3	так как	1	9
4	то что	9	9
5	еще не	4	8
6	на земле	1	7
7	а не	13	7
8	и потому	1	7
9	на себя	4	5
10	но и	27	5
11	того что	4	5
12	хотя и	4	5
13	в мире	4	5
14	все это	1	5
15	как бы	6	5
16	и есть	1	4
17	в образе	1	4
18	в его	6	4
19	и я	1	4
20	в этом	12	4
21	что он	3	4
22	потому что	5	4
23	в нем	4	4
24	так и	5	4
25	что не	2	4
26	как и	13	4
27	что мы	2	4
28	в котором	1	4
29	мировой жизни	1	4
30	в ней	4	4
31	и все	3	4
32	это еще	1	4
33	все что	2	4
34	хотя бы	2	3
35	как не	1	3
36	лишь в	3	3
37	в чем	2	3
38	с его	4	3
39	во всех	1	3
40	христа в	1	3
41	что и	1	3
42	в том	8	3
43	тот же	1	3
44	но в	7	3
45	и они	1	3
46	в конце	2	3
47	их в	3	3
48	в своей	5	3
49	и мы	1	3
50	в жизни	3	3
51	не было	3	3
52	не верит	1	3
53	если не	2	3
54	в этих	2	3
55	в первый	1	3
56	что я	1	3
57	не в	6	3
58	к чему	3	3
59	любовь к	1	3
60	тому что	1	3
61	но это	1	3
62	к бытию	1	3
63	не имеет	2	3
64	не верят	1	3
65	никогда не	4	3
66	первый раз	1	3
67	и для	2	3
68	к тому	6	3
69	жизни и	6	3
70	что в	3	3
71	оно не	2	3
72	того чтобы	4	2
73	и то	3	2
74	не имел	1	2
75	лишь из	1	2
76	верит в	1	2
77	и сам	1	2
78	и т	1	2
79	мы не	3	2
80	когда в	3	2
81	с ним	2	2
82	своей истории	2	2
83	ее и	1	2
84	между тем	3	2
85	вслед за	1	2
86	от этих	2	2
87	которые не	1	2
88	не с	1	2
89	человека как	1	2
90	только в	12	2
91	уже не	8	2
92	не только	31	2
93	его и	2	2
94	для него	4	2
95	людей не	1	2
96	тем что	1	2
97	на том	1	2
98	не будет	2	2
99	это не	3	2
100	т д	1	2
101	а с	1	2
102	прежде всего	4	2
103	для них	2	2
104	все равно	2	2
105	с тем	1	2
106	мы и	1	2
107	один из	6	2
108	и тогда	2	2
109	мира в	4	2
110	является в	1	2
111	значения и	2	2
112	тем кто	1	2
113	мир и	1	2
114	что было	1	2
115	да и	2	2
116	почему оно	1	2
117	в смысл	2	2
118	одна из	4	2
119	том что	7	2
120	тот кто	2	2
121	людей так	1	2
122	для нас	1	2
123	в форме	2	2
124	они и	2	2
125	людей и	1	2
126	это все	1	2
127	а в	13	2
128	но не	4	2
129	могут быть	1	2
130	понимает и	1	2
131	во всяком	2	2
132	если б	1	1
133	речь идет	3	1
134	как мы	2	1
135	в виду	1	1
136	в ее	1	1
137	и до	1	1
138	роль в	2	1
139	значение в	1	1
140	мы будем	1	1
141	которое может	1	1
142	то же	8	1
143	лет назад	1	1
144	это он	1	1
145	живет в	1	1
146	человеческого бытия	1	1
147	в результате	2	1
148	идти в	1	1
149	и вообще	1	1
150	смысл бытия	1	1
151	и ее	3	1
152	по смыслу	1	1
153	зависимости от	2	1
154	любви по	1	1
155	в их	1	1
156	и на	5	1
157	он был	1	1
158	теперь и	1	1
159	в последних	1	1
160	со словами	2	1
161	бы то	1	1
162	истории в	4	1
163	природы и	1	1
164	к нему	4	1
165	но как	3	1
166	если в	2	1
167	с которыми	1	1
168	а потому	1	1
169	тогда как	10	1
170	важное для	1	1
171	не просто	1	1
172	крайней мере	1	1
173	если за	1	1
174	и уж	1	1
175	его на	1	1
176	как в	4	1
177	в своем	3	1
178	известном смысле	2	1
179	все же	4	1
180	в двух	1	1
181	идет по	2	1
182	с ними	2	1
183	мы увидим	1	1
184	ли он	1	1
185	в разные	1	1
186	со своей	1	1
187	в самом	6	1
188	у них	1	1
189	в которой	1	1
190	что это	1	1
191	бы ни	1	1
192	на людей	1	1
193	в целом	3	1
194	их не	1	1
195	тоже не	1	1
196	в этой	6	1
197	в известном	2	1
198	даже смерть	1	1
199	я в	2	1
200	уже в	1	1
201	то и	1	1
202	слово это	2	1
203	последних словах	1	1
204	или даже	1	1
205	чем у	1	1
206	и вот	2	1
207	отношение к	1	1
208	бытия и	1	1
209	у него	7	1
210	не случайно	1	1
211	и по	1	1
212	небе и	1	1
213	переход к	1	1
214	человека в	2	1
215	на нее	1	1
216	для того	3	1
217	то ни	1	1
218	в едином	2	1
219	и с	3	1
220	было не	1	1
221	а его	2	1
222	с другой	2	1
223	его личности	1	1
224	как близок	1	1
225	в глазах	3	1
226	это одна	1	1
227	лишь на	1	1
228	еще и	1	1
229	бытия в	1	1
230	и тем	4	1
231	последние дни	1	1
232	нового времени	1	1
233	говорит о	1	1
234	и опять	1	1
235	на которых	1	1
236	человеческой жизни	2	1
237	не всегда	3	1
238	и уже	1	1
239	было для	1	1
240	жизни но	2	1
241	о чем	4	1
242	и было	1	1
243	себя за	1	1
244	вместе с	2	1
245	так же	1	1
246	как это	3	1
247	то есть	9	1
248	и столь	2	1
249	в человеке	1	1
250	над ним	1	1
251	у нас	3	1
252	в которых	1	1
253	ведет к	1	1
254	в одном	4	1
255	не понимает	1	1
256	образ и	1	1
257	по крайней	1	1
258	красоте и	1	1
259	жизни человечества	1	1
260	и смерти	1	1
261	освободиться от	1	1
262	раз и	1	1
263	любви и	1	1
264	на разных	1	1
265	можно ли	1	1
266	о вечном	1	1
267	как можно	1	1
268	есть знак	1	1
269	ни для	1	1
270	из нас	2	1
271	к ним	2	1
272	не по	4	1
273	последний из	1	1
274	указать на	1	1
275	не существует	3	1
276	и от	2	1
277	которая в	2	1
278	ничего не	2	1
279	человек и	1	1
280	того как	1	1
281	жизни не	1	1
282	может быть	15	1
283	в третьем	4	1
284	начальным и	1	1
285	как она	2	1
286	во всем	1	1
287	будто бы	1	1
288	там он	1	1
289	можно признать	1	1
290	сознания так	1	1
291	в сознании	4	1
292	к жизни	2	1
293	к ее	2	1
294	связь с	1	1
295	жизни в	2	1
296	что на	4	1
297	другой стороны	2	1
298	им не	1	1
299	но все	1	1
300	к этому	1	1
301	жизни без	1	1
302	в искусстве	1	1
303	слова с	1	1
304	в противоположность	1	1
305	она не	2	1
306	в роли	2	1
307	они не	1	1
