1	по отношению к	4	7
2	в данном случае	1	6
3	с одной стороны	4	5
4	в свою очередь	6	4
5	в этом отношении	1	4
6	в то же	8	4
7	не сводится к	2	4
8	тем не менее	1	3
9	не может быть	5	3
10	в том что	1	3
11	на самом деле	6	3
12	то же время	8	3
13	но и в	1	2
14	в отличие от	1	2
15	в высшей степени	1	2
16	в том чтобы	2	2
17	более или менее	6	2
18	по своей природе	1	2
19	состоит в том	1	2
20	и тем самым	1	2
21	как мы видели	2	2
22	в том числе	1	1
23	а непосредственно как	1	1
24	в противном случае	1	1
25	к тому чтобы	1	1
26	и в пределах	1	1
27	произведение в его	2	1
28	вовсе не о	1	1
29	всех без исключения	1	1
30	одной стороны и	4	1
31	все то что	1	1
32	том что без	1	1
33	в этом смысле	1	1
34	может и должен	1	1
35	как если бы	2	1
36	мы не должны	1	1
37	не только с	1	1
38	друг от друга	2	1
39	в связи с	2	1
40	по аналогии с	3	1
41	и в то	1	1
42	как мы увидим	2	1
43	в зависимости от	2	1
44	а не как	1	1
45	отнюдь не является	1	1
46	не могло быть	1	1
47	в первой главе	1	1
48	так и не	1	1
49	на первом плане	1	1
50	это отношение к	1	1
51	во всяком случае	4	1
52	не непосредственно а	1	1
53	и на наших	1	1
54	дистанцию по отношению	1	1
55	том числе и	1	1
56	он может и	1	1
57	это то что	1	1
58	вместо того чтобы	1	1
59	может быть вполне	1	1
60	сами по себе	2	1
61	и в этом	2	1
62	еще в самом	2	1
63	с другой стороны	1	1
64	мы не можем	2	1
65	науке о литературе	1	1
66	в пределах одного	1	1
67	не столько в	1	1
68	в настоящее время	10	1
69	но и с	1	1
