N	3gram	Propp_Russ_2	Hudozhes
1	о том что	4	9
2	в том что	18	6
3	можно было бы	1	4
4	в этой связи	1	4
5	в этом отношении	1	3
6	тем не менее	2	3
7	как и в	1	3
8	в предыдущей главе	1	3
9	и т д	5	3
10	том что в	1	2
11	о том как	1	2
12	мы уже знаем	1	2
13	в первую очередь	1	2
14	в такой же	1	2
15	не может быть	3	2
16	и это не	1	2
17	на то что	1	2
18	а между тем	1	1
19	потому что он	1	1
20	не может не	1	1
21	состоит в том	13	1
22	к жизни в	1	1
23	к жизни столь	1	1
24	же как и	2	1
25	может быть только	2	1
26	и в этом	1	1
27	а в поле	1	1
28	как это делалось	1	1
29	и то и	1	1
30	человека а не	1	1
31	более или менее	1	1
32	на самом же	2	1
33	в отличие от	3	1
34	в xix в	3	1
35	в это время	1	1
36	духе а в	1	1
37	по своему происхождению	1	1
38	в город с	1	1
39	во всяком случае	1	1
40	не только на	1	1
41	самом же деле	2	1
42	в данном случае	6	1
43	это еще не	1	1
44	где говорится что	1	1
45	в свою очередь	1	1
46	с того что	1	1
47	не было ни	1	1
48	с одной стороны	2	1
49	во многих отношениях	1	1
50	говорится о том	1	1
51	на первый взгляд	1	1
52	пока еще не	2	1
