N	3gram	Berdyaev_O_1	FransuaR
1	для того чтобы	3	6
2	в том что	1	6
3	в этом отношении	1	5
4	и прежде всего	1	3
5	в другом месте	1	2
6	он не только	1	2
7	и не в	1	2
8	о том как	1	2
9	в самой жизни	1	2
10	не может быть	2	2
11	как бы в	1	2
12	друг с другом	1	2
13	том что в	1	1
14	хотя и не	1	1
15	потому что в	1	1
16	своем художественном творчестве	2	1
17	в самом деле	1	1
18	как и все	2	1
19	которая была скрыта	1	1
20	проповеди а в	1	1
21	в строгом смысле	1	1
22	он и не	1	1
23	то что в	1	1
24	вложена в уста	1	1
25	в отношении ко	1	1
26	он ни был	1	1
27	в самом начале	1	1
28	в своем художественном	2	1
29	он был необычайно	1	1
30	и в самой	2	1
31	с вопросом о	1	1
32	дается в форме	1	1
33	от того что	1	1
34	как и в	1	1
35	о том что	1	1
36	она и не	1	1
37	никогда и нигде	1	1
38	и в самом	1	1
39	здесь нужно искать	1	1
40	с его стремлением	2	1
41	он еще не	1	1
42	бы он ни	1	1
43	с ним может	1	1
44	после того как	1	1
45	и мысли и	1	1
