N	2gram	Voloshinov_1	Sovremen
1	таким образом	12	8
2	в результате	1	5
3	в этом	4	5
4	не может	16	5
5	мы можем	2	4
6	и наконец	3	4
7	мы не	3	4
8	как бы	13	4
9	все эти	3	3
10	в целом	1	3
11	и мы	1	3
12	не можем	1	3
13	зависимости от	4	3
14	следующим образом	1	3
15	в зависимости	2	3
16	из двух	1	3
17	с помощью	6	3
18	у нас	1	2
19	на этом	1	2
20	в одном	1	2
21	все же	4	2
22	и в	12	2
23	но в	5	2
24	мы должны	1	2
25	этих двух	2	2
26	все это	3	2
27	по мнению	1	2
28	тот же	1	2
29	если мы	1	2
30	и все	2	2
31	мы видели	1	2
32	прежде всего	8	2
33	не только	4	2
34	точки зрения	14	2
35	в виде	1	2
36	то же	5	2
37	не в	4	2
38	с одной	2	2
39	при этом	6	2
40	уже на	1	1
41	и не	10	1
42	но можно	1	1
43	совпадают с	1	1
44	форму этого	1	1
45	как мы	1	1
46	в процессе	6	1
47	и из	1	1
48	форма в	2	1
49	все время	6	1
50	раз подчеркнуть	1	1
51	это и	1	1
52	он не	2	1
53	форму и	2	1
54	зрения и	1	1
55	для их	1	1
56	еще раз	2	1
57	этого развития	1	1
58	в то	2	1
59	что уже	1	1
60	в нашем	11	1
61	свою очередь	1	1
62	дело в	4	1
63	с другой	4	1
64	в другом	1	1
65	и т.п	1	1
66	сводится только	1	1
67	на второй	1	1
68	но все	2	1
69	как и	5	1
70	она не	2	1
71	еще не	3	1
72	отметить что	1	1
73	независимо от	2	1
74	на их	1	1
75	можем сказать	2	1
76	подчеркнуть что	2	1
77	жизни и	4	1
78	еще более	1	1
79	может дать	1	1
80	о том	3	1
81	и потому	2	1
82	это как	3	1
83	два основных	1	1
84	ничего не	2	1
85	же этот	1	1
86	между собой	2	1
87	же время	1	1
88	так же	3	1
89	можно наблюдать	1	1
90	для нас	7	1
91	все более	1	1
92	что в	2	1
93	разберем это	1	1
94	ясно что	3	1
95	на это	2	1
96	а не	5	1
97	и основное	1	1
98	так называемый	1	1
99	это делает	1	1
100	этот третий	1	1
101	на них	1	1
102	между ними	2	1
103	может быть	14	1
104	он должен	3	1
105	стороны и	2	1
106	все равно	1	1
107	мы имеем	2	1
108	тем же	1	1
109	кроме того	2	1
110	кто же	1	1
111	определенным образом	1	1
112	все элементы	1	1
113	в том	6	1
114	и тот	1	1
115	же мы	1	1
116	из одного	1	1
117	это не	2	1
118	то она	1	1
119	помощью которой	1	1
120	это уже	1	1
121	уже в	2	1
122	конечно не	3	1
123	в себе	3	1
124	одной стороны	2	1
125	именно эта	1	1
126	осмысленное целое	1	1
127	каждый элемент	1	1
128	от двух	1	1
129	но это	2	1
130	так как	9	1
131	у него	1	1
132	переводе с	1	1
133	по преимуществу	1	1
134	что это	1	1
135	же как	1	1
136	более и	1	1
137	сторона дела	1	1
138	в нем	6	1
139	значение этих	1	1
140	только одна	1	1
141	и к	4	1
142	же самое	2	1
143	с греческого	1	1
144	и по	3	1
145	и следовательно	5	1
146	один и	1	1
147	ту действительную	1	1
148	и более	3	1
149	только из	1	1
150	только к	1	1
151	они не	1	1
152	в свою	1	1
153	это направление	1	1
154	на которой	1	1
155	том что	5	1
156	не могут	1	1
157	в своем	2	1
158	двух частей	1	1
